Classifier,Success Rate
LDA,0.6
LDA CV,0.6333333333333333
KNN5,0.5333333333333333
KNN5 CV,0.65
KNN7,0.4666666666666667
KNN7 CV,0.65
SVC,0.5333333333333333
SVC CV,0.6833333333333333
NB,0.6666666666666666
NB CV,0.6166666666666666
LR,0.6
LR CV,0.6166666666666666
LDA GA,0.3333333333333333
LDA GA CV,0.55
KNN5 GA,0.6
KNN5 GA CV,0.6833333333333333
KNN7 GA,0.4666666666666667
KNN7 GA CV,0.4833333333333334
SVC GA,0.6
SVC GA CV,0.65
NB GA,0.4
NB GA CV,0.6666666666666667
LR GA,0.2
LR GA CV,0.6166666666666667
MV,0.5333333333333333
MV_GA,0.4
MV_ALL,0.5333333333333333
STACKING,0.5333333333333333
OSTACKING ,0.6
OSTACKING GA,0.6
OSTACKING ALL,0.5333333333333333
MV CV,0.6500000000000001
MV_GA CV,0.6166666666666667
MV_ALL CV,0.6666666666666667
OSTACKING  CV,0.6666666666666667
OSTACKING GA CV,0.65
OSTACKING ALL CV,0.65
