Classifier,Success Rate
LDA,0.4666666666666667
LDA CV,0.5166666666666666
KNN-5,0.4
KNN-5 CV,0.5333333333333333
KNN-7,0.4
KNN-7 CV,0.5000000000000001
SVC,0.6
SVC CV,0.5666666666666667
NB,0.4
NB CV,0.4166666666666667
LR,0.4666666666666667
LR CV,0.55
LDA GA,0.4
LDA GA CV,0.5833333333333334
KNN5 GA,0.4666666666666667
KNN5 GA CV,0.5666666666666667
KNN7 GA,0.4
KNN7 GA CV,0.5
SVC GA,0.4
SVC GA CV,0.5833333333333333
NB GA,0.5333333333333333
NB GA CV,0.6500000000000001
LR GA,0.5333333333333333
LR GA CV,0.55
MV,0.5333333333333333
MV_GA,0.5333333333333333
MV_ALL,0.5333333333333333
STACKING,0.4
OSTACKING ,0.5333333333333333
OSTACKING GA,0.5333333333333333
OSTACKING ALL,0.3333333333333333
MV CV,0.4
MV GA CV,0.4
MV ALL CV,0.4
OSTACKING CV,0.4666666666666667
OSTACKING GA CV,0.4
OSTACKING ALL CV,0.4
