Feature            Score (R^2) Left    Score (R^2) Right    Mean-Mean left    Var-Mean left    Mean-Mean right    Var-Mean right    Mean-Var left    Var-Var left    Mean-Var right    Var-Var right
---------------  ------------------  -------------------  ----------------  ---------------  -----------------  ----------------  ---------------  --------------  ----------------  ---------------
CSP1                    0.00179206           0.000123637       0.284896           0.0136625        0.67894            0.00585384        0.0787511      0.00810643          1.27723          1.59001
CSP2                    0.00769458           0.000319065       0.343304           0.0145615        0.649103           0.00693369        0.115869       0.0262548           0.937337         1.12508
CSP3                    0.00197388           0.00206833        0.378679           0.0131812        0.620786           0.00807933        0.103124       0.0192091           0.712826         0.902347
E1_BP_ALPHA             0.000241009          0.00163923        0.271518           0.0490185        0.458257           0.0980593         0.276827       0.14577             0.720357         0.717779
E1_BP_BETA              0.0106613            0.0066534         0.229368           0.0522354        0.367086           0.122959          0.406171       0.239953            0.806262         0.704866
E1_BP_GAMMA             0.00116132           0.00157821        0.204333           0.0521365        0.281584           0.144492          0.518577       0.286177            0.803791         0.630752
E1_BP_DELTA             0.0022649            0.00445783        0.18597            0.0535006        0.223002           0.151285          0.59823        0.320262            0.801211         0.574374
E1_BP_THETA             0.0100171            0.011578          0.170421           0.0543607        0.17708            0.151168          0.659753       0.337704            0.787013         0.536511
E1_RTP                  2.97011e-05          0.000104485       0.151958           0.0563393        0.148392           0.143663          0.681641       0.336857            0.795159         0.510708
E1_SPEC_MOM             0.00295435           0.0127513         0.143371           0.0551806        0.123851           0.138135          0.707946       0.327788            0.800736         0.486708
E1_SPEC_EDGE            0.0013614            0.0023999         0.131305           0.0560047        0.1072             0.133215          0.723973       0.318987            0.823841         0.485128
E1_SPEC_ENT             0.00395511           0.00268442        0.124274           0.0543698        0.0939235          0.129459          0.747495       0.314633            0.83635          0.47816
E1_SLOPE                0.00848052           0.005246          0.117062           0.0544312        0.0830419          0.123933          0.759952       0.304606            0.847739         0.468323
E1_INTERCEPT            0.00459468           0.00268234        0.109418           0.0528963        0.0773536          0.118146          0.767591       0.292695            0.861399         0.457314
E1_MEAN_FREQ            0.00228559           0.00114152        0.104449           0.0517415        0.0676657          0.11338           0.775827       0.287001            0.847333         0.439293
E1_OCC_BAND             0.00345377           0.000436501       0.0966605          0.0512572        0.0690128          0.108848          0.780299       0.284412            0.873342         0.456082
E1_POWER_BAND           0.00042991           0.000171282       0.0910813          0.0512622        0.0671498          0.104617          0.795693       0.284991            0.873827         0.437194
E1_WLT_ENT              0.000117789          0.000477093       0.0835025          0.0511926        0.0648841          0.101637          0.802709       0.27694             0.871207         0.420507
E1_KURT                 0.000171922          0.00165836        0.0765323          0.0513497        0.0662273          0.0985402         0.806825       0.272493            0.880806         0.41726
E1_SKEW                 0.000306596          0.000338368       0.0700124          0.0514228        0.0646426          0.0960324         0.811973       0.268366            0.877381         0.40392
E1_VAR                  0.00365074           0.00976849        0.0674137          0.0510496        0.0620228          0.0930849         0.823497       0.269453            0.87973          0.398358
E1_STD                  0.00103336           0.000497641       0.0641006          0.0508186        0.0594028          0.0904778         0.833657       0.273878            0.875808         0.387628
E1_LOG_ENE_ENT          0.000338935          0.00329451        0.0627845          0.0500707        0.0563109          0.0878129         0.84619        0.2751              0.874119         0.377535
E2_BP_ALPHA             0.000427803          5.95585e-08       0.0585519          0.0494181        0.0543474          0.0855721         0.855164       0.282993            0.874802         0.37298
E2_BP_BETA              0.00245627           0.00379643        0.0561671          0.0489704        0.0545945          0.0835331         0.861229       0.280117            0.879538         0.36466
E2_BP_GAMMA             0.00250308           2.84941e-06       0.0533246          0.0482223        0.0474069          0.0830422         0.864832       0.283151            0.878234         0.363708
E2_BP_DELTA             0.00143185           0.000116654       0.0524448          0.0472791        0.047524           0.0812012         0.869658       0.290532            0.890767         0.375748
E2_BP_THETA             0.000261219          0.00326811        0.0494567          0.0467437        0.0431771          0.0796219         0.873453       0.288293            0.885627         0.3681
E2_RTP                  0.00100378           0.0133854         0.0467347          0.0469482        0.0379239          0.0785278         0.879242       0.292757            0.877003         0.362284
E2_SPEC_MOM             8.51956e-06          0.0044628         0.0464001          0.0465172        0.0339851          0.077327          0.893427       0.306571            0.872605         0.363287
E2_SPEC_EDGE            0.000316422          0.00299968        0.0457268          0.0461347        0.0298325          0.0760058         0.903878       0.316349            0.866366         0.363024
E2_SPEC_ENT             0.000157632          0.00318482        0.0442466          0.0458517        0.0269744          0.0742442         0.912545       0.323031            0.860481         0.357487
E2_SLOPE                9.15844e-07          0.00229871        0.0419434          0.0455032        0.0226923          0.0733669         0.911734       0.320158            0.856586         0.351267
E2_INTERCEPT            0.00014465           0.00211469        0.0414158          0.0451012        0.0198958          0.0720456         0.916597       0.318698            0.854423         0.345199
E2_MEAN_FREQ            0.000236272          0.00617017        0.0387952          0.0446796        0.0192781          0.0710817         0.912246       0.315027            0.85463          0.342381
E2_OCC_BAND             0.00198318           0.00495706        0.0376755          0.043901         0.0182257          0.069508          0.914864       0.317379            0.853578         0.339905
E2_POWER_BAND           0.000304469          0.000161797       0.0361278          0.0436703        0.0151024          0.0693769         0.915377       0.31407             0.851659         0.335309
E2_WLT_ENT              9.1582e-08           0.00195655        0.0354794          0.0431159        0.0144179          0.0686794         0.913306       0.311532            0.855355         0.337543
E2_KURT                 0.0118007            0.00475678        0.0362423          0.0441197        0.0122893          0.0678871         0.91736        0.312781            0.855015         0.333576
E2_SKEW                 0.0102588            0.0136737         0.0382733          0.0447341        0.0102587          0.0676845         0.92646        0.315588            0.850331         0.329896
E2_VAR                  0.00980977           0.00795842        0.0392297          0.0455784        0.00893908         0.0670881         0.93475        0.319491            0.848063         0.325394
E2_STD                  0.000489212          0.000178523       0.038982           0.0456888        0.00817393         0.0664944         0.937047       0.316426            0.847894         0.322896
E2_LOG_ENE_ENT          0.00775476           0.0058827         0.0388224          0.0459461        0.00681152         0.0657784         0.938795       0.315837            0.846947         0.321946
