,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8666666666666667,2023-08-22 13:17:35.966597,2023-08-22 13:17:45.414565,0 days 00:00:09.447968,0.36391979626608023,0.6956953170766244,5,12,0.0401520630299661,0.19914544278843543,60,143,COMPLETE
1,1,0.8,2023-08-22 13:17:45.414945,2023-08-22 13:17:50.722980,0 days 00:00:05.308035,0.390696829881245,0.7961737008131807,4,11,0.05627621813964054,0.2703851823183393,40,125,COMPLETE
2,2,0.8444444444444444,2023-08-22 13:17:50.723363,2023-08-22 13:18:00.193208,0 days 00:00:09.469845,0.6799609533921782,0.7193770464279586,4,10,0.038251063593423944,0.17935632865310006,40,174,COMPLETE
3,3,0.8444444444444444,2023-08-22 13:18:00.193597,2023-08-22 13:18:06.006090,0 days 00:00:05.812493,0.5465722097919976,0.6977052256549788,5,6,0.03550114045063721,0.2758154190711225,60,132,COMPLETE
4,4,0.8888888888888888,2023-08-22 13:18:06.006479,2023-08-22 13:18:18.671829,0 days 00:00:12.665350,0.5114331191228344,0.7652842438686284,4,10,0.03188835372991323,0.2198501978972097,50,169,COMPLETE
5,5,0.8222222222222222,2023-08-22 13:18:18.672214,2023-08-22 13:18:29.503145,0 days 00:00:10.830931,0.6101191721186756,0.6631565253507822,5,14,0.04806306300952276,0.2814170298662012,40,145,COMPLETE
6,6,0.8,2023-08-22 13:18:29.503533,2023-08-22 13:18:38.365757,0 days 00:00:08.862224,0.5803492723293404,0.6661836063409842,3,17,0.05213362726039454,0.21918281775338633,40,168,COMPLETE
7,7,0.8666666666666667,2023-08-22 13:18:38.366171,2023-08-22 13:18:49.422618,0 days 00:00:11.056447,0.5956364634394946,0.7413902738960828,4,15,0.04421115219798257,0.20711904490672176,50,129,COMPLETE
8,8,0.8,2023-08-22 13:18:49.423008,2023-08-22 13:18:53.421622,0 days 00:00:03.998614,0.6780677683334628,0.7394679755300343,3,7,0.06713927133485362,0.27011924544156796,60,125,COMPLETE
9,9,0.8222222222222222,2023-08-22 13:18:53.422015,2023-08-22 13:19:00.397480,0 days 00:00:06.975465,0.5450093438416991,0.7066340113756033,5,7,0.031067088163638075,0.25128223400423455,50,146,COMPLETE
10,10,0.8222222222222222,2023-08-22 13:19:00.397874,2023-08-22 13:19:17.017326,0 days 00:00:16.619452,0.47158201038279934,0.7835144673754014,3,20,0.030166275027620818,0.16281236404633764,50,160,COMPLETE
11,11,0.7555555555555555,2023-08-22 13:19:17.017765,2023-08-22 13:19:23.596688,0 days 00:00:06.578923,0.35152607253038465,0.7653585595465443,4,10,0.040726445848608475,0.19928115451344194,60,161,COMPLETE
12,12,0.8,2023-08-22 13:19:23.597073,2023-08-22 13:19:43.532458,0 days 00:00:19.935385,0.46195808721538045,0.7631782613632518,5,12,0.03645741048851548,0.23731879691917473,60,179,COMPLETE
13,13,0.7555555555555555,2023-08-22 13:19:43.532848,2023-08-22 13:19:51.091882,0 days 00:00:07.559034,0.45657240303014446,0.6878375834346481,4,9,0.04299321562772097,0.18938170203431343,50,140,COMPLETE
14,14,0.8222222222222222,2023-08-22 13:19:51.092266,2023-08-22 13:20:08.031925,0 days 00:00:16.939659,0.4082539699833475,0.7271314953659137,5,14,0.034500761422160055,0.22356654179532018,60,157,COMPLETE
15,15,0.8,2023-08-22 13:20:08.032329,2023-08-22 13:20:20.340940,0 days 00:00:12.308611,0.5032639520614413,0.6792945301712284,4,17,0.04023080679803226,0.2070676970954436,50,153,COMPLETE
16,16,0.7777777777777778,2023-08-22 13:20:20.341392,2023-08-22 13:20:25.965963,0 days 00:00:05.624571,0.42091085415385976,0.6557539787252947,5,8,0.03384936507562923,0.15410073666100638,50,135,COMPLETE
17,17,0.7333333333333333,2023-08-22 13:20:25.966353,2023-08-22 13:20:30.178253,0 days 00:00:04.211900,0.37797051018664335,0.7082279610463001,3,5,0.04483997865758195,0.23931313739288407,60,166,COMPLETE
18,18,0.7777777777777778,2023-08-22 13:20:30.178643,2023-08-22 13:20:43.285841,0 days 00:00:13.107198,0.35149026087960233,0.6799799880638339,4,12,0.0304328946771509,0.29578260142729684,60,152,COMPLETE
19,19,0.7777777777777778,2023-08-22 13:20:43.286243,2023-08-22 13:20:55.988089,0 days 00:00:12.701846,0.4313761041331293,0.7528871103091171,5,16,0.03744598949804051,0.17393656563182783,50,139,COMPLETE
20,20,0.6739130434782609,2023-08-22 13:20:55.988541,2023-08-22 13:21:09.671868,0 days 00:00:13.683327,0.49259636855795097,0.7228549771336736,4,13,0.04069184034796631,0.1931447206512495,60,170,COMPLETE
