,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.9555555555555556,2023-08-22 11:34:34.731913,2023-08-22 11:34:53.917714,0 days 00:00:19.185801,0.5145951299813433,0.7722394092664244,4,20,0.046349265261483544,0.1878871309944014,60,157,COMPLETE
1,1,0.9333333333333333,2023-08-22 11:34:53.918166,2023-08-22 11:35:02.621124,0 days 00:00:08.702958,0.6212587916540523,0.6735469468591773,3,19,0.030925086499474307,0.2571361854451097,60,121,COMPLETE
2,2,0.9111111111111111,2023-08-22 11:35:02.621501,2023-08-22 11:35:06.191939,0 days 00:00:03.570438,0.41103661137033987,0.20134618423203093,5,13,0.04121824554409996,0.2695600450176402,60,140,COMPLETE
3,3,0.8444444444444444,2023-08-22 11:35:06.192314,2023-08-22 11:35:15.002225,0 days 00:00:08.809911,0.523172407987523,0.6141520106041363,3,17,0.0522248963382916,0.1836124168511558,60,180,COMPLETE
4,4,0.8222222222222222,2023-08-22 11:35:15.002627,2023-08-22 11:35:21.305389,0 days 00:00:06.302762,0.17435163573551526,0.20580555448539867,4,16,0.05085034210208089,0.22645736926433502,60,121,COMPLETE
5,5,0.8888888888888888,2023-08-22 11:35:21.305758,2023-08-22 11:35:33.330672,0 days 00:00:12.024914,0.5737931016607865,0.6785516787438968,5,14,0.033537256482865416,0.2729572554884305,50,120,COMPLETE
6,6,0.8444444444444444,2023-08-22 11:35:33.331052,2023-08-22 11:35:39.831621,0 days 00:00:06.500569,0.10353289504153432,0.4343412764355504,5,13,0.049310296500063966,0.2209441800570403,50,148,COMPLETE
7,7,0.8888888888888888,2023-08-22 11:35:39.831991,2023-08-22 11:35:44.789518,0 days 00:00:04.957527,0.4976901539801205,0.2588623126971849,5,17,0.04424726220847511,0.173243264548646,50,160,COMPLETE
8,8,0.8888888888888888,2023-08-22 11:35:44.789899,2023-08-22 11:35:53.308346,0 days 00:00:08.518447,0.38458572975118044,0.5075223626593052,3,19,0.04217024698330593,0.3460953185566452,40,131,COMPLETE
9,9,0.8444444444444444,2023-08-22 11:35:53.308727,2023-08-22 11:36:00.996884,0 days 00:00:07.688157,0.7495134901487317,0.7718688123864073,3,16,0.057501931492503836,0.298136290547796,60,122,COMPLETE
10,10,0.8888888888888888,2023-08-22 11:36:00.997266,2023-08-22 11:36:11.643673,0 days 00:00:10.646407,0.7981180792254422,0.775390938791246,4,20,0.03710659418446785,0.16718753752663473,40,163,COMPLETE
11,11,0.9333333333333333,2023-08-22 11:36:11.644061,2023-08-22 11:36:28.544068,0 days 00:00:16.900007,0.6596092892837632,0.7946512901595418,4,20,0.030861694617651033,0.15006032905414818,60,161,COMPLETE
12,12,0.9333333333333333,2023-08-22 11:36:28.544455,2023-08-22 11:36:36.894929,0 days 00:00:08.350474,0.6191224883273576,0.6777829959917262,3,18,0.039288205653267474,0.21149751811926523,60,145,COMPLETE
13,13,0.8888888888888888,2023-08-22 11:36:36.895302,2023-08-22 11:36:55.900397,0 days 00:00:19.005095,0.6640229664586754,0.6816675718463864,4,19,0.03676571389217134,0.24326134851032732,60,173,COMPLETE
14,14,0.9333333333333333,2023-08-22 11:36:55.901061,2023-08-22 11:37:05.259674,0 days 00:00:09.358613,0.47241676246727976,0.5823832614134636,3,20,0.030514717839977903,0.19918336424318359,60,134,COMPLETE
15,15,0.9333333333333333,2023-08-22 11:37:05.260064,2023-08-22 11:37:16.895345,0 days 00:00:11.635281,0.3146817201931129,0.7094678536009775,4,18,0.046616987365625195,0.19214658070063045,40,155,COMPLETE
16,16,0.8888888888888888,2023-08-22 11:37:16.895738,2023-08-22 11:37:30.688017,0 days 00:00:13.792279,0.5630362423738444,0.799831378671579,3,19,0.0453642243940703,0.23903184892294405,60,169,COMPLETE
17,17,0.8888888888888888,2023-08-22 11:37:30.688399,2023-08-22 11:37:42.023974,0 days 00:00:11.335575,0.682311542776474,0.5982958659227676,4,15,0.03548608240921886,0.21247092172696325,60,155,COMPLETE
18,18,0.9333333333333333,2023-08-22 11:37:42.024355,2023-08-22 11:37:53.715320,0 days 00:00:11.690965,0.5910979622171667,0.7097089715517929,4,18,0.040624807848108076,0.26223861651354285,40,131,COMPLETE
19,19,0.8222222222222222,2023-08-22 11:37:53.715722,2023-08-22 11:38:00.488911,0 days 00:00:06.773189,0.5217234415720026,0.7384786622831001,3,12,0.04300576520998972,0.19816929218346965,50,144,COMPLETE
20,20,0.8260869565217391,2023-08-22 11:38:00.489301,2023-08-22 11:38:10.691856,0 days 00:00:10.202555,0.4394950033122842,0.641902490392398,4,20,0.03872456170350947,0.1509514804994652,60,137,COMPLETE
21,21,0.9347826086956522,2023-08-22 11:38:10.692252,2023-08-22 11:38:27.595399,0 days 00:00:16.903147,0.6644859328339646,0.7935964757610671,4,20,0.03066067102585851,0.15780865297667035,60,154,COMPLETE
22,22,0.8913043478260869,2023-08-22 11:38:27.595786,2023-08-22 11:38:40.511541,0 days 00:00:12.915755,0.7393128969500669,0.7444844513698481,4,19,0.033191729889118116,0.1734934171054494,60,154,COMPLETE
