,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.9777777777777777,2023-08-22 15:39:03.399244,2023-08-22 15:39:53.364986,0 days 00:00:49.965742,0.5807422536034802,0.7711793302225229,3,20,0.04382091885371691,0.26689414951464274,60,166,COMPLETE
1,1,0.9555555555555556,2023-08-22 15:39:53.365430,2023-08-22 15:40:11.958520,0 days 00:00:18.593090,0.24463344721615654,0.7110049321171465,3,17,0.08001112956988021,0.3378579200615014,60,130,COMPLETE
2,2,0.8888888888888888,2023-08-22 15:40:11.958948,2023-08-22 15:40:49.983284,0 days 00:00:38.024336,0.6340550033304644,0.699730742590973,5,18,0.0901360636319326,0.340286603200314,40,162,COMPLETE
3,3,0.9333333333333333,2023-08-22 15:40:49.983713,2023-08-22 15:41:15.296138,0 days 00:00:25.312425,0.5297540395320127,0.7607536376616504,4,16,0.08298152219032792,0.19184435174650677,60,123,COMPLETE
4,4,0.9555555555555556,2023-08-22 15:41:15.296564,2023-08-22 15:41:48.846496,0 days 00:00:33.549932,0.28442059767192707,0.41981156182848867,5,17,0.06973502541850055,0.3080146196203979,60,177,COMPLETE
5,5,0.8888888888888888,2023-08-22 15:41:48.846925,2023-08-22 15:42:16.236796,0 days 00:00:27.389871,0.46738475932426593,0.24917913822945353,5,18,0.029870165977413668,0.22179960445866492,50,135,COMPLETE
6,6,0.9333333333333333,2023-08-22 15:42:16.237222,2023-08-22 15:42:39.426042,0 days 00:00:23.188820,0.7163448203725092,0.5151915991857146,5,16,0.06746566105895165,0.20254957917643643,40,176,COMPLETE
7,7,0.9777777777777777,2023-08-22 15:42:39.426453,2023-08-22 15:42:51.141421,0 days 00:00:11.714968,0.6969077533618746,0.40085074096722195,4,17,0.059112241263945556,0.2065160977423031,60,124,COMPLETE
8,8,0.8444444444444444,2023-08-22 15:42:51.141828,2023-08-22 15:43:20.143979,0 days 00:00:29.002151,0.6697856664957169,0.43744048965762694,3,20,0.06171018964607316,0.27309131531842007,50,175,COMPLETE
9,9,0.9777777777777777,2023-08-22 15:43:20.144419,2023-08-22 15:43:44.719958,0 days 00:00:24.575539,0.3147370289683228,0.7131627936192053,3,20,0.05116706819112227,0.20398116183227788,40,142,COMPLETE
10,10,0.9111111111111111,2023-08-22 15:43:44.720409,2023-08-22 15:44:14.569773,0 days 00:00:29.849364,0.118024509382397,0.7963774374287547,3,19,0.037929061894745326,0.1568463059608715,60,158,COMPLETE
11,11,0.9111111111111111,2023-08-22 15:44:14.570206,2023-08-22 15:44:40.471166,0 days 00:00:25.900960,0.7882319879304126,0.5689480131992078,4,15,0.04805319766738714,0.23896123593391447,60,153,COMPLETE
12,12,0.9111111111111111,2023-08-22 15:44:40.471601,2023-08-22 15:45:25.183312,0 days 00:00:44.711711,0.579339875235889,0.5826329585222094,4,19,0.048996080610899516,0.26507797919933684,60,164,COMPLETE
13,13,0.8666666666666667,2023-08-22 15:45:25.183766,2023-08-22 15:46:00.189749,0 days 00:00:35.005983,0.5756522082661317,0.3333414995258595,4,19,0.027195108597619977,0.24890436441603606,60,143,COMPLETE
14,14,0.9333333333333333,2023-08-22 15:46:00.190219,2023-08-22 15:46:18.440228,0 days 00:00:18.250009,0.7994082431811083,0.6269900639835373,3,16,0.056857534497400095,0.28545945280951024,60,120,COMPLETE
15,15,0.8666666666666667,2023-08-22 15:46:18.440651,2023-08-22 15:46:38.011579,0 days 00:00:19.570928,0.6812382709113785,0.482364136906797,4,18,0.09964591658755778,0.22728867292468594,50,168,COMPLETE
16,16,0.9333333333333333,2023-08-22 15:46:38.011992,2023-08-22 15:47:05.108447,0 days 00:00:27.096455,0.4738540660961778,0.3657933207126478,3,17,0.040179804588016316,0.26367617981109387,60,149,COMPLETE
17,17,0.9111111111111111,2023-08-22 15:47:05.108883,2023-08-22 15:47:39.065264,0 days 00:00:33.956381,0.5866203054288762,0.6281755503416242,4,15,0.04033450134185314,0.2875486245559232,60,130,COMPLETE
18,18,0.8888888888888888,2023-08-22 15:47:39.065709,2023-08-22 15:47:52.748610,0 days 00:00:13.682901,0.7360328373102369,0.22711462132966503,3,20,0.05741987121279517,0.1747356561476977,50,170,COMPLETE
19,19,0.9333333333333333,2023-08-22 15:47:52.749039,2023-08-22 15:48:20.960864,0 days 00:00:28.211825,0.6422449826366665,0.5169078975527969,4,19,0.0734173279315472,0.22469819255488646,40,154,COMPLETE
20,20,0.8478260869565217,2023-08-22 15:48:20.961294,2023-08-22 15:49:27.958009,0 days 00:01:06.996715,0.40492584161405093,0.7961911315198106,5,18,0.06443224145466195,0.24397354681842404,60,146,COMPLETE
21,21,0.9130434782608695,2023-08-22 15:49:27.958580,2023-08-22 15:50:11.713594,0 days 00:00:43.755014,0.3824086323147417,0.7276069350995149,3,20,0.05517991744430132,0.20642410269195963,40,140,COMPLETE
22,22,0.9130434782608695,2023-08-22 15:50:11.714165,2023-08-22 15:50:39.970617,0 days 00:00:28.256452,0.5070695929405954,0.7117710253477185,3,20,0.04871466164927667,0.18472845528649223,40,137,COMPLETE
23,23,0.8695652173913043,2023-08-22 15:50:39.971074,2023-08-22 15:51:00.072575,0 days 00:00:20.101501,0.7272456417411335,0.6775527940435467,3,19,0.05180320395524098,0.20622662944631065,40,130,COMPLETE
24,24,0.9347826086956522,2023-08-22 15:51:00.073003,2023-08-22 15:51:32.371836,0 days 00:00:32.298833,0.6188690369664084,0.7530694620069405,3,20,0.06056003001961576,0.16569350221386756,40,159,COMPLETE
25,25,0.9130434782608695,2023-08-22 15:51:32.372294,2023-08-22 15:51:53.860331,0 days 00:00:21.488037,0.5382798605402881,0.64505940781832,3,17,0.04599972112786403,0.18274206826542327,40,125,COMPLETE
26,26,0.9130434782608695,2023-08-22 15:51:53.860773,2023-08-22 15:52:18.519690,0 days 00:00:24.658917,0.4189427228416413,0.6781145946182746,4,19,0.05428922027437985,0.15289323391451415,60,135,COMPLETE
27,27,0.9347826086956522,2023-08-22 15:52:18.520113,2023-08-22 15:53:09.351645,0 days 00:00:50.831532,0.3523360393258924,0.7689990345942915,3,20,0.04395025037180367,0.2194186405668213,60,149,COMPLETE
28,28,0.8260869565217391,2023-08-22 15:53:09.352087,2023-08-22 15:53:49.625185,0 days 00:00:40.273098,0.47908066473112826,0.7368256195652358,4,16,0.0604859499916514,0.23449085361545616,50,142,COMPLETE
29,29,0.8478260869565217,2023-08-22 15:53:49.625779,2023-08-22 15:54:29.389412,0 days 00:00:39.763633,0.3108329411322253,0.7985578225005706,3,18,0.032848509405376244,0.25366019852221866,40,169,COMPLETE
30,30,0.8666666666666667,2023-08-22 15:54:29.389891,2023-08-22 15:54:54.234111,0 days 00:00:24.844220,0.23916640527175562,0.5792212576937662,4,17,0.05240988327312269,0.19826640976938487,60,127,COMPLETE
31,31,0.8888888888888888,2023-08-22 15:54:54.234558,2023-08-22 15:55:13.716442,0 days 00:00:19.481884,0.2244824949034057,0.6958819149935507,3,17,0.07720291927960873,0.3097087043630772,60,121,COMPLETE
32,32,0.9777777777777777,2023-08-22 15:55:13.716877,2023-08-22 15:55:35.184623,0 days 00:00:21.467746,0.6277551116144535,0.7263457803201874,3,18,0.08423446405090466,0.3332845465783886,60,129,COMPLETE
33,33,0.9333333333333333,2023-08-22 15:55:35.185050,2023-08-22 15:55:57.607041,0 days 00:00:22.421991,0.6231532587861046,0.7271445604140987,3,18,0.08303105973380706,0.34270207804739306,60,131,COMPLETE
34,34,0.9333333333333333,2023-08-22 15:55:57.607479,2023-08-22 15:56:31.865328,0 days 00:00:34.257849,0.5337716432820243,0.7578204435996188,3,20,0.06798104224918483,0.3339627575882204,60,126,COMPLETE
35,35,0.9333333333333333,2023-08-22 15:56:31.865782,2023-08-22 15:56:49.825473,0 days 00:00:17.959691,0.6885959413785414,0.6644659072592481,3,19,0.07460267593782838,0.21013383266730337,60,132,COMPLETE
36,36,0.8888888888888888,2023-08-22 15:56:49.825917,2023-08-22 15:57:24.495596,0 days 00:00:34.669679,0.6548558103064673,0.7044294912615482,5,16,0.06528788129856072,0.2159932151913572,60,138,COMPLETE
37,37,0.9555555555555556,2023-08-22 15:57:24.496031,2023-08-22 15:57:51.019833,0 days 00:00:26.523802,0.43743956897870834,0.7606698511330786,3,18,0.06968389840059526,0.19592906301648916,40,134,COMPLETE
38,38,0.8666666666666667,2023-08-22 15:57:51.020278,2023-08-22 15:58:24.381310,0 days 00:00:33.361032,0.6059003899838593,0.709458592507993,4,16,0.08634153666691431,0.23143626417012206,60,180,COMPLETE
39,39,0.9333333333333333,2023-08-22 15:58:24.381766,2023-08-22 15:59:21.554909,0 days 00:00:57.173143,0.5402907424718865,0.6673261860363287,5,20,0.04362561774485643,0.3483318351870937,50,124,COMPLETE
40,40,0.9333333333333333,2023-08-22 15:59:21.555378,2023-08-22 15:59:48.017346,0 days 00:00:26.461968,0.752885629007217,0.603537919320074,3,18,0.058536168255808305,0.21486376511149413,60,145,COMPLETE
41,41,0.8666666666666667,2023-08-22 15:59:48.017791,2023-08-22 16:00:06.499919,0 days 00:00:18.482128,0.6641168291800623,0.7296475396175032,3,17,0.09329455454724911,0.33175173391776647,60,129,COMPLETE
42,42,0.8888888888888888,2023-08-22 16:00:06.500361,2023-08-22 16:00:31.150588,0 days 00:00:24.650227,0.6885522505623972,0.7677730435445915,3,17,0.07759846058114776,0.32222001599205535,60,120,COMPLETE
43,43,0.9333333333333333,2023-08-22 16:00:31.151034,2023-08-22 16:00:58.379820,0 days 00:00:27.228786,0.5663314121144246,0.6948410634176543,3,16,0.06260078852873308,0.31089212271128275,60,127,COMPLETE
44,44,0.8888888888888888,2023-08-22 16:00:58.380275,2023-08-22 16:01:24.786576,0 days 00:00:26.406301,0.705751985698268,0.6490769696805507,3,17,0.05140985653014492,0.2992351931869148,60,123,COMPLETE
45,45,0.9111111111111111,2023-08-22 16:01:24.787017,2023-08-22 16:01:41.614257,0 days 00:00:16.827240,0.7716221728594901,0.4167513193185198,4,15,0.0818676399901197,0.3283594129425705,60,164,COMPLETE
46,46,0.9555555555555556,2023-08-22 16:01:41.614688,2023-08-22 16:02:00.211450,0 days 00:00:18.596762,0.6412486676844481,0.5452585214223914,3,19,0.06423262407188295,0.31801142128413035,50,154,COMPLETE
47,47,0.9333333333333333,2023-08-22 16:02:00.211877,2023-08-22 16:02:32.646660,0 days 00:00:32.434783,0.5999435854972444,0.7828986598826726,3,17,0.07191043601323639,0.34002735895305525,40,173,COMPLETE
48,48,0.9555555555555556,2023-08-22 16:02:32.647483,2023-08-22 16:02:55.835001,0 days 00:00:23.187518,0.7172435246811378,0.6198381183809374,4,18,0.09134490479922115,0.29538632702749296,60,133,COMPLETE
49,49,0.8444444444444444,2023-08-22 16:02:55.835438,2023-08-22 16:03:35.429995,0 days 00:00:39.594557,0.1703026160159305,0.7527415174791217,5,16,0.06650077695928693,0.2705582501212364,60,137,COMPLETE
50,50,0.8478260869565217,2023-08-22 16:03:35.430454,2023-08-22 16:04:00.046422,0 days 00:00:24.615968,0.29839882955692504,0.6066913340312543,3,19,0.05622638336601031,0.25466548486823565,60,140,COMPLETE
51,51,0.8913043478260869,2023-08-22 16:04:00.046864,2023-08-22 16:04:43.406691,0 days 00:00:43.359827,0.2691633068162011,0.45860057541810983,5,17,0.06847520609866026,0.3494969960158133,60,179,COMPLETE
