,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8444444444444444,2023-08-16 02:08:41.532800,2023-08-16 02:08:45.314458,0 days 00:00:03.781658,0.3478419462988297,0.31634086390754923,3,18,0.04015467635340479,0.27829683765348123,40,135,COMPLETE
1,1,0.8666666666666667,2023-08-16 02:08:45.314833,2023-08-16 02:08:47.293718,0 days 00:00:01.978885,0.7484777648088564,0.2691015783158046,4,13,0.07560783678374904,0.22679474079130435,40,142,COMPLETE
2,2,0.9333333333333333,2023-08-16 02:08:47.294119,2023-08-16 02:08:57.718840,0 days 00:00:10.424721,0.4805352658745433,0.6358483661445029,4,17,0.07648158736580746,0.2656456305448479,50,174,COMPLETE
3,3,0.8222222222222222,2023-08-16 02:08:57.719208,2023-08-16 02:09:00.141217,0 days 00:00:02.422009,0.20198599521850874,0.22077010118375576,3,10,0.04104270425238857,0.28509787907629824,50,149,COMPLETE
4,4,0.8888888888888888,2023-08-16 02:09:00.141587,2023-08-16 02:09:04.387202,0 days 00:00:04.245615,0.3954991997341021,0.43866390514855247,4,16,0.061918640888438826,0.2802930383589288,60,147,COMPLETE
5,5,0.8888888888888888,2023-08-16 02:09:04.387580,2023-08-16 02:09:08.506857,0 days 00:00:04.119277,0.13668986084414078,0.4541563413600372,4,12,0.03968541696227991,0.2774478101335356,40,166,COMPLETE
6,6,0.9111111111111111,2023-08-16 02:09:08.507227,2023-08-16 02:09:17.762500,0 days 00:00:09.255273,0.2537067838180541,0.6276781005266231,5,19,0.041476219071893625,0.292757207492368,60,121,COMPLETE
7,7,0.8888888888888888,2023-08-16 02:09:17.762893,2023-08-16 02:09:29.357240,0 days 00:00:11.594347,0.36480387548675,0.5728486064981939,5,15,0.03697902966311266,0.2228611226131354,40,179,COMPLETE
8,8,0.8222222222222222,2023-08-16 02:09:29.357629,2023-08-16 02:09:32.377860,0 days 00:00:03.020231,0.5190474817499653,0.3759604142564479,5,8,0.05449157113304975,0.32405098989033104,40,136,COMPLETE
9,9,0.9333333333333333,2023-08-16 02:09:32.378288,2023-08-16 02:09:47.125424,0 days 00:00:14.747136,0.5889615675879639,0.7944838659007547,3,20,0.032725269847066946,0.3022190315227493,50,180,COMPLETE
10,10,0.8444444444444444,2023-08-16 02:09:47.125816,2023-08-16 02:09:51.213706,0 days 00:00:04.087890,0.636787084641712,0.6803919757164388,4,7,0.09690878620179588,0.1535546443656508,50,163,COMPLETE
11,11,0.9333333333333333,2023-08-16 02:09:51.214123,2023-08-16 02:10:06.879895,0 days 00:00:15.665772,0.5362419470889417,0.7954380197476434,3,20,0.02508702579364124,0.3415701924385334,50,177,COMPLETE
12,12,0.9333333333333333,2023-08-16 02:10:06.880289,2023-08-16 02:10:16.253757,0 days 00:00:09.373468,0.5926159118120022,0.7814106629231452,3,17,0.07706007573673787,0.3194166012306552,50,165,COMPLETE
13,13,0.9111111111111111,2023-08-16 02:10:16.254170,2023-08-16 02:10:23.778925,0 days 00:00:07.524755,0.4713111800226172,0.7006807533201586,3,20,0.0742361499851112,0.24321312149441332,50,170,COMPLETE
14,14,0.9111111111111111,2023-08-16 02:10:23.779625,2023-08-16 02:10:29.511472,0 days 00:00:05.731847,0.6616384600954532,0.5438711376578153,4,14,0.054756774509093754,0.3498931596913253,50,158,COMPLETE
15,15,0.8444444444444444,2023-08-16 02:10:29.511861,2023-08-16 02:10:32.381562,0 days 00:00:02.869701,0.7666528108394175,0.7157802916560029,3,5,0.08905369712692959,0.2545953392358162,50,174,COMPLETE
16,16,0.9111111111111111,2023-08-16 02:10:32.381996,2023-08-16 02:10:45.695090,0 days 00:00:13.313094,0.45695004281477164,0.5916182235344666,5,17,0.025252255657466117,0.30884722787088026,60,156,COMPLETE
17,17,0.9111111111111111,2023-08-16 02:10:45.695470,2023-08-16 02:10:57.769837,0 days 00:00:12.074367,0.5664376671568719,0.6342805925032399,4,19,0.06790695302029114,0.3064511560687384,50,180,COMPLETE
18,18,0.8888888888888888,2023-08-16 02:10:57.770224,2023-08-16 02:11:02.291404,0 days 00:00:04.521180,0.6794409074592639,0.528677700570821,3,16,0.08327966393642862,0.2622979453017527,50,171,COMPLETE
19,19,0.9333333333333333,2023-08-16 02:11:02.291796,2023-08-16 02:11:09.041558,0 days 00:00:06.749762,0.48477610581740266,0.739546940714411,4,11,0.06449633481923796,0.33186394230033506,50,157,COMPLETE
20,20,0.9333333333333333,2023-08-16 02:11:09.041966,2023-08-16 02:11:23.870691,0 days 00:00:14.828725,0.5972346753191059,0.6554047041498351,5,18,0.05430075636601816,0.3027362775037946,60,170,COMPLETE
21,21,0.9555555555555556,2023-08-16 02:11:23.871085,2023-08-16 02:11:40.382911,0 days 00:00:16.511826,0.550420048613572,0.7948502364381593,3,20,0.025069439311838,0.3497326134372071,50,175,COMPLETE
22,22,0.9111111111111111,2023-08-16 02:11:40.383306,2023-08-16 02:11:56.715274,0 days 00:00:16.331968,0.5315999047971991,0.7546793415802596,3,20,0.031454892938997364,0.33472111817859157,50,174,COMPLETE
23,23,0.9333333333333333,2023-08-16 02:11:56.715667,2023-08-16 02:12:10.997301,0 days 00:00:14.281634,0.4111094476569916,0.7855415659457817,3,18,0.03172367751980537,0.3186967376611396,50,180,COMPLETE
24,24,0.8888888888888888,2023-08-16 02:12:10.997695,2023-08-16 02:12:19.645260,0 days 00:00:08.647565,0.5983214388905219,0.703021049843622,3,19,0.047454824206463374,0.3458524059653597,50,162,COMPLETE
25,25,0.9333333333333333,2023-08-16 02:12:19.645654,2023-08-16 02:12:28.923522,0 days 00:00:09.277868,0.49793873042042053,0.7410438360530955,3,15,0.03352263969130822,0.29975034452668237,50,174,COMPLETE
26,26,0.8888888888888888,2023-08-16 02:12:28.923918,2023-08-16 02:12:39.728580,0 days 00:00:10.804662,0.7068300270809278,0.6703649220107709,4,17,0.04690770435696008,0.32292635716387924,50,168,COMPLETE
27,27,0.8888888888888888,2023-08-16 02:12:39.728973,2023-08-16 02:12:55.405144,0 days 00:00:15.676171,0.6466323782592385,0.7974252570681979,3,20,0.027627059525970804,0.33429633005063375,50,175,COMPLETE
28,28,0.9333333333333333,2023-08-16 02:12:55.405566,2023-08-16 02:13:11.952562,0 days 00:00:16.546996,0.5563956599026944,0.7399037380398747,4,18,0.03080723345696095,0.3145323238455202,60,161,COMPLETE
29,29,0.9555555555555556,2023-08-16 02:13:11.952967,2023-08-16 02:13:21.808350,0 days 00:00:09.855383,0.4165661126708255,0.6880361429394627,3,19,0.03608959137696315,0.2897321252323978,50,125,COMPLETE
30,30,0.8666666666666667,2023-08-16 02:13:21.808751,2023-08-16 02:13:27.862806,0 days 00:00:06.054055,0.4253932080549494,0.6218672193302551,3,16,0.037295927314382055,0.27406495811062176,40,122,COMPLETE
31,31,0.9333333333333333,2023-08-16 02:13:27.863195,2023-08-16 02:13:36.110847,0 days 00:00:08.247652,0.33744670810673044,0.702300192624508,3,19,0.027900314567306177,0.289520571548462,50,126,COMPLETE
32,32,0.9333333333333333,2023-08-16 02:13:36.111246,2023-08-16 02:13:48.580440,0 days 00:00:12.469194,0.45467152026124524,0.7557010262675368,3,20,0.0336344206955766,0.2963288404229566,50,133,COMPLETE
33,33,0.9111111111111111,2023-08-16 02:13:48.580836,2023-08-16 02:13:58.608389,0 days 00:00:10.027553,0.49927791115875203,0.6762581506300869,3,18,0.025209203488575332,0.2682059909707915,50,142,COMPLETE
34,34,0.9111111111111111,2023-08-16 02:13:58.608788,2023-08-16 02:14:08.878541,0 days 00:00:10.269753,0.4300286833655716,0.7999563176138852,3,19,0.04435501245386116,0.28411199193199993,50,154,COMPLETE
35,35,0.9111111111111111,2023-08-16 02:14:08.878938,2023-08-16 02:14:17.454844,0 days 00:00:08.575906,0.544632440857019,0.7209469888630433,4,14,0.03607573772317701,0.3105780798227367,50,130,COMPLETE
36,36,0.9333333333333333,2023-08-16 02:14:17.455242,2023-08-16 02:14:25.998509,0 days 00:00:08.543267,0.380574701969174,0.7668649629102042,3,17,0.04127146116612798,0.2861574796069825,40,140,COMPLETE
37,37,0.9111111111111111,2023-08-16 02:14:25.998919,2023-08-16 02:14:35.998293,0 days 00:00:09.999374,0.3283084910630538,0.6538162634219267,4,19,0.029867097236501133,0.2734030709257883,50,147,COMPLETE
