Feature                 Score_(R^2)_Left    Score_(R^2)_Right    Score_(LASSO)_Left    Score_(LASSO)_Right    Score_(R^1)_Left    Score_(R^1)_Right    R1_Left    R1_Right    R2_Left    R2_Right    Coef_Left    Coef_Right    explained_variance_left    explained_variance_right    max_error_left    max_error_right    mean_absolute_error_left    mean_absolute_error_right    mean_squared_error_left    mean_squared_error_right    median_absolute_error_left    median_absolute_error_right    mean_absolute_percentage_error_left    mean_absolute_percentage_error_right    mean_pinball_loss_left    mean_pinball_loss_right    d2_pinball_score_left    d2_pinball_score_right    d2_absolute_error_score_left    d2_absolute_error_score_right
--------------------  ------------------  -------------------  --------------------  ---------------------  ------------------  -------------------  ---------  ----------  ---------  ----------  -----------  ------------  -------------------------  --------------------------  ----------------  -----------------  --------------------------  ---------------------------  -------------------------  --------------------------  ----------------------------  -----------------------------  -------------------------------------  --------------------------------------  ------------------------  -------------------------  -----------------------  ------------------------  ------------------------------  -------------------------------
CSP1                         0.0517322            3.15818e-05           0.0403178              0                  -4.67157e+15         -1.42925e+16    27.9673     27.9926    1049.63     1052.37  0.00399231    0.000340813                0.0517322                   3.15818e-05          3.04893             7.97326                    0.194493                     0.634715                   0.155793                    1.96116                       0.128239                       0.419281                            1.87061                                 4.30828                     0.0972466                   0.317358              0.120984                 -0.019377                        0.099855                        -0.273303
CSP2                         0.000262626          0.0176987             0                      0.0122925          -7.58432e+15         -1.77827e+16    28.0469     28.1167    1053.89     1057.47  0.000317008   0.00339307                 0.000262626                 0.0176987            3.28804             2.35358                    0.252608                     0.394856                   0.203995                    0.340736                      0.185399                       0.308269                            1.03646                                 0.995638                    0.126304                    0.197428              0.00626749               -0.00787318                     -0.119046                        -0.155529
CSP3                         0.052471             2.43757e-05           0.0255818              0                  -4.36448e+15         -1.05936e+16    27.9786     28.0054    1050.27     1052.41  0.00261963    7.09262e-05                0.052471                    2.43757e-05          0.983056            1.62331                    0.175651                     0.235226                   0.066082                    0.110046                      0.133882                       0.186456                            1.10907                                 0.653772                    0.0878256                   0.117613              0.0337866                -0.0241046                       0.0386637                       -0.0359338
E1_BP_15.5_18.5              0.00460598           0.0126156             0.00309197             0.0103866          -3.71436e+16         -2.74282e+17    28.1981     28.2133    1066.44     1066.44  0.00327089    0.00446137                 0.00460598                  0.0126156            4.392               2.09764                    0.824753                     0.761287                   1.23292                     0.8307                        0.708952                       0.686711                            1.17073                                 1.09486                     0.412376                    0.380643             -0.0196542                -0.0906837                      -0.0273285                       -0.0160332
E1_BP_8_10.5                 0.000902881          0.0058407             0                      0.00365097         -1.54454e+17         -5.71915e+16    28.0706     28.2145    1057.87     1067.19  0.0014242     0.00306271                 0.000902881                 0.0058407            3.71089             5.1824                     0.857393                     0.634953                   1.19687                     0.851401                      0.743129                       0.496923                            1.03079                                 1.1335                      0.428696                    0.317476             -0.0446117                -0.0413251                      -0.0501179                       -0.0640505
E1_BP_10_15.5                0.00185872           0.0891966             0                      0.0872078          -1.22553e+17       -inf              28.0676     28.4086    1056.84     1081.92  0.00184865    0.012559                   0.00185872                  0.0891966            4.20639             3.10266                    0.680308                     0.683887                   0.978629                    0.858848                      0.573077                       0.547825                            1.12458                                 1.70749                     0.340154                    0.341944             -0.019476                 -0.021035                       -0.0365619                       -0.0743604
E1_BP_17.5_20.5              0.00122035           0.0467134             0                      0.0451442          -1.83473e+16         -1.73952e+16    28.1556     28.3338    1063.16     1077.6   0.0011886     0.0102319                  0.00122035                  0.0467134            2.39872             4.75856                    0.611089                     0.772503                   0.616576                    1.13927                       0.475714                       0.615606                            1.78738                                 1.57452                     0.305544                    0.386252             -0.0359177                -0.00531657                     -0.0348694                       -0.0840585
E1_BP_12.5_30                0.00192499           0.0988483             0                      0.0966616        -inf                   -1.7019e+16     28.0628     28.397     1056.23     1082.2   0.00173524    0.0126084                  0.00192499                  0.0988483            4.45773             5.28762                    0.677056                     0.566846                   0.832504                    0.772828                      0.525445                       0.454044                            1.89487                                 1.42845                     0.338528                    0.283423             -0.0344279                -0.00807005                     -0.0818598                       -0.0576445
E1_RTP                       0.00896816           0.045707              0.00623567             0.0436387          -1.8082e+16          -3.164e+16      28.0642     28.2954    1055.41     1074.57  0.00339736    0.00881551                 0.00896816                  0.045707             3.1093              3.39301                    0.602251                     0.702548                   0.68014                     0.865216                      0.474991                       0.60133                             4.85544                                 1.5167                      0.301126                    0.351274             -0.0133969                -0.0121289                      -0.0379955                       -0.0252291
