Model,Score
TK_rec_pr4_d2_absolute_error_score_SVC STA CV,0.3061728395061728
TK_rec_pr0_lasso_QDA STA CV,0.3290123456790123
None_KNN-7 STA,0.3333333333333333
TK_rec_pr4_d2_absolute_error_score_QDA STA CV,0.3339506172839506
TK_rec_pr0_r1_dist_QDA STA CV,0.337037037037037
TK_rec_pr0_r2_score_QDA STA CV,0.3401234567901234
TK_rec_pr4_explained_variance_SVC STA CV,0.3432098765432098
TK_rec_pr4_d2_absolute_error_score_LDA STA,0.3481481481481481
TK_rec_pr4_d2_absolute_error_score_KNN-5 STA,0.3481481481481481
TK_rec_pr4_d2_absolute_error_score_LDA STA CV,0.3493827160493827
TK_rec_pr2_coef_SVC STA CV,0.3512345679012345
TK_rec_pr3_coef_QDA STA CV,0.3518518518518518
TK_rec_pr4_explained_variance_QDA STA CV,0.3537037037037037
TK_rec_pr4_Score_(LASSO)_Left_QDA STA CV,0.3537037037037037
TK_rec_pr4_d2_absolute_error_score_QDA STA,0.3555555555555555
TK_rec_pr0_r2_dist_QDA STA CV,0.3580246913580247
TK_rec_pr1_coef_SVC STA CV,0.3586419753086419
TK_rec_pr0_QDA STA CV,0.3635802469135801
TK_rec_pr3_coef_SVC STA CV,0.3641975308641975
TK_rec_pr4_mean_absolute_percentage_error_SVC STA CV,0.3666666666666666
TK_rec_pr5_coef_QDA STA CV,0.3685185185185184
TK_rec_pr4_Score_(LASSO)_Left_SVC STA CV,0.3691358024691357
TK_rec_pr2_coef_QDA STA CV,0.3697530864197531
TK_rec_pr4_coef_KNN-5 STA,0.3703703703703703
TK_rec_pr4_Coef_Left_KNN-5 STA,0.3703703703703703
TK_rec_pr4_coef_SVC STA CV,0.3716049382716048
TK_rec_pr4_Coef_Left_SVC STA CV,0.3716049382716048
TK_rec_pr6_coef_SVC STA CV,0.3716049382716048
TK_rec_pr4_coef_QDA STA CV,0.3728395061728395
TK_rec_pr4_Coef_Left_QDA STA CV,0.3728395061728395
def_vals_pr3_r2_score_QDA STA CV,0.374074074074074
full_ga_class_results_QDA STA CV,0.374074074074074
TK_rec_pr3_r2_score_QDA STA CV,0.374074074074074
TK_rec_pr0_r2_score_SVC STA CV,0.3746913580246913
TK_rec_pr4_coef_DT STA CV,0.3746913580246913
TK_rec_pr1_QDA STA CV,0.3746913580246914
TK_rec_pr3_QDA STA CV,0.3753086419753086
TK_rec_pr4_d2_absolute_error_score_RF STA CV,0.3753086419753086
TK_rec_pr4_explained_variance_DT STA CV,0.3759259259259259
TK_rec_pr5_coef_SVC STA CV,0.3765432098765431
TK_rec_pr4_explained_variance_RF STA CV,0.3771604938271604
TK_rec_pr3_lasso_QDA STA CV,0.3771604938271605
TK_rec_pr0_lasso_SVC STA CV,0.3777777777777777
TK_rec_pr3_coef_DT STA CV,0.3777777777777777
TK_rec_pr4_Coef_Left_DT STA CV,0.378395061728395
TK_rec_pr4_r2_score_QDA STA CV,0.378395061728395
TK_rec_pr5_coef_DT STA CV,0.378395061728395
TK_rec_pr6_lasso_QDA STA CV,0.378395061728395
TK_rec_pr0_r2_dist_SVC STA CV,0.3790123456790123
TK_rec_pr4_d2_pinball_score_QDA STA CV,0.3790123456790124
TK_rec_pr4_Score_(LASSO)_Left_LDA STA CV,0.3790123456790124
TK_rec_pr4_lasso_QDA STA CV,0.3796296296296296
TK_rec_pr2_coef_QDA STA,0.3802469135802468
TK_rec_pr6_r1_dist_QDA STA CV,0.3802469135802469
TK_rec_pr6_r2_score_QDA STA CV,0.3808641975308642
TK_rec_pr0_r1_dist_SVC STA CV,0.3814814814814814
TK_rec_pr4_QDA STA CV,0.3814814814814815
TK_rec_pr4_d2_absolute_error_score_DT STA CV,0.382716049382716
TK_rec_pr4_d2_absolute_error_score_NB STA,0.3827160493827161
TK_rec_pr4_explained_variance_QDA STA,0.3827160493827161
None_DT STA CV,0.3833333333333333
TK_rec_pr0_r2_dist_QDA STA,0.3851851851851851
TK_rec_pr4_explained_variance_SVC STA,0.3851851851851851
TK_rec_pr4_explained_variance_KNN-5 STA,0.3851851851851852
TK_rec_pr4_explained_variance_DT STA,0.3851851851851852
TK_rec_pr2_lasso_QDA STA CV,0.3864197530864196
TK_rec_pr4_explained_variance_LDA STA CV,0.3864197530864197
TK_rec_pr1_lasso_QDA STA CV,0.387037037037037
TK_rec_pr4_Score_(LASSO)_Left_QDA STA,0.3876543209876542
TK_rec_pr4_d2_absolute_error_score_KNN-7 STA,0.3876543209876543
TK_rec_pr3_r1_dist_QDA STA CV,0.3882716049382716
TK_rec_pr4_r1_dist_QDA STA CV,0.3888888888888889
TK_rec_pr4_R1_Left_QDA STA CV,0.3888888888888889
TK_rec_pr1_SVC STA CV,0.389506172839506
TK_rec_pr0_r1_dist_DT STA CV,0.3895061728395061
TK_rec_pr4_median_absolute_error_SVC STA CV,0.3895061728395061
TK_rec_pr2_r2_score_QDA STA CV,0.3895061728395062
TK_rec_pr1_coef_LDA STA CV,0.3901234567901234
TK_rec_pr4_d2_absolute_error_score_SVC STA,0.3901234567901234
TK_rec_pr4_mean_absolute_error_SVC STA CV,0.3901234567901234
TK_rec_pr4_mean_pinball_loss_SVC STA CV,0.3901234567901234
TK_rec_pr4_mean_absolute_percentage_error_QDA STA CV,0.3901234567901235
TK_rec_pr5_QDA STA CV,0.3907407407407408
TK_rec_pr6_coef_QDA STA CV,0.3907407407407408
TK_rec_pr0_SVC STA CV,0.391358024691358
TK_rec_pr0_r1_dist_LDA STA CV,0.391358024691358
TK_rec_pr6_QDA STA CV,0.3919753086419753
TK_rec_pr4_r2_dist_QDA STA CV,0.3925925925925925
TK_rec_pr4_R2_Left_QDA STA CV,0.3925925925925925
TK_rec_pr5_coef_KNN-5 STA,0.3925925925925925
TK_rec_pr6_coef_KNN-7 STA,0.3925925925925925
TK_rec_pr1_coef_NB STA,0.3925925925925926
TK_rec_pr4_coef_KNN-7 STA,0.3925925925925926
