,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.6666666666666666,2023-05-31 01:10:10.597049,2023-05-31 01:10:13.786801,0 days 00:00:03.189752,0.6721673961253931,0.42962555584075424,3,8,0.030798012503142798,0.25821675067786676,40,128,COMPLETE
1,1,0.6666666666666666,2023-05-31 01:10:13.787175,2023-05-31 01:10:17.312065,0 days 00:00:03.524890,0.39269035416412235,0.3807471979998957,3,9,0.026416343998329858,0.30598685622898725,60,121,COMPLETE
2,2,0.7111111111111111,2023-05-31 01:10:17.312442,2023-05-31 01:10:21.031872,0 days 00:00:03.719430,0.5309754419870818,0.596015297890913,4,8,0.08948326298312231,0.34676486407503215,60,140,COMPLETE
3,3,0.6888888888888889,2023-05-31 01:10:21.032273,2023-05-31 01:10:23.114242,0 days 00:00:02.081969,0.1873034136817805,0.31770284871051646,4,14,0.08470336510348211,0.3390693346655429,40,125,COMPLETE
4,4,0.6,2023-05-31 01:10:23.114617,2023-05-31 01:10:26.373044,0 days 00:00:03.258427,0.11430171981720175,0.35080238843747535,4,15,0.07954076160394921,0.300152664646671,50,162,COMPLETE
5,5,0.5777777777777777,2023-05-31 01:10:26.373419,2023-05-31 01:10:28.841849,0 days 00:00:02.468430,0.37866665314819303,0.36643864973966145,4,5,0.062326305013969754,0.3416693052117934,60,144,COMPLETE
6,6,0.5777777777777777,2023-05-31 01:10:28.842224,2023-05-31 01:10:34.955734,0 days 00:00:06.113510,0.5885144676964976,0.6027473534955881,4,14,0.054058321412436806,0.23839652432572392,40,141,COMPLETE
7,7,0.6,2023-05-31 01:10:34.956101,2023-05-31 01:10:39.704684,0 days 00:00:04.748583,0.5770593125872332,0.3896464243489204,4,12,0.06038360152454241,0.286303654295494,60,167,COMPLETE
8,8,0.7333333333333333,2023-05-31 01:10:39.705052,2023-05-31 01:10:44.601447,0 days 00:00:04.896395,0.5300061633565512,0.6007577154455706,3,9,0.07748206490709536,0.24270822202394093,40,153,COMPLETE
9,9,0.7333333333333333,2023-05-31 01:10:44.601831,2023-05-31 01:10:47.522571,0 days 00:00:02.920740,0.14631793972467347,0.6775126393359225,5,6,0.07407208540872814,0.294065695670059,60,121,COMPLETE
10,10,0.6666666666666666,2023-05-31 01:10:47.523220,2023-05-31 01:10:52.291066,0 days 00:00:04.767846,0.7979340508135346,0.49382742780284244,3,11,0.09502757125238298,0.18362595020893757,50,180,COMPLETE
11,11,0.6888888888888889,2023-05-31 01:10:52.291476,2023-05-31 01:10:55.210288,0 days 00:00:02.918812,0.280982016226379,0.6922482634522076,5,5,0.0748967856109888,0.2287066359862876,40,152,COMPLETE
12,12,0.6,2023-05-31 01:10:55.210669,2023-05-31 01:11:01.481451,0 days 00:00:06.270782,0.2873521727334066,0.697881052074509,5,7,0.09955979994230445,0.20166610675851693,60,155,COMPLETE
13,13,0.6666666666666666,2023-05-31 01:11:01.481829,2023-05-31 01:11:06.990036,0 days 00:00:05.508207,0.4871250873673847,0.6326525405946375,5,6,0.07101755336046509,0.16240868521458768,40,169,COMPLETE
14,14,0.6222222222222222,2023-05-31 01:11:06.990421,2023-05-31 01:11:09.983382,0 days 00:00:02.992961,0.10742587936578171,0.5465608699552149,5,10,0.07309985470150719,0.2671787170805237,50,135,COMPLETE
15,15,0.8,2023-05-31 01:11:09.983768,2023-05-31 01:11:13.201090,0 days 00:00:03.217322,0.4334283468965159,0.6404387736415811,3,7,0.08498900268233892,0.2291417352261595,60,132,COMPLETE
16,16,0.6222222222222222,2023-05-31 01:11:13.201483,2023-05-31 01:11:16.040919,0 days 00:00:02.839436,0.447015973498296,0.5529276283983604,3,9,0.08808026173097296,0.21649691566059368,40,133,COMPLETE
17,17,0.7555555555555555,2023-05-31 01:11:16.041301,2023-05-31 01:11:25.063755,0 days 00:00:09.022454,0.4322662272628792,0.6326176095105681,3,12,0.08326562664325836,0.2361084283023929,60,158,COMPLETE
18,18,0.6,2023-05-31 01:11:25.064136,2023-05-31 01:11:29.607671,0 days 00:00:04.543535,0.4032102857584792,0.648513557384962,3,12,0.0997509602502572,0.2125876441157856,60,159,COMPLETE
19,19,0.7111111111111111,2023-05-31 01:11:29.608055,2023-05-31 01:11:34.402412,0 days 00:00:04.794357,0.2916295758391491,0.6515683675340884,3,12,0.08964830815605229,0.19253917581729368,60,147,COMPLETE
