,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8444444444444444,2023-08-22 12:38:50.071574,2023-08-22 12:38:55.374786,0 days 00:00:05.303212,0.48413812511207116,0.5749137892791698,5,7,0.06391291504116006,0.3105442930021547,50,167,COMPLETE
1,1,0.8666666666666667,2023-08-22 12:38:55.375232,2023-08-22 12:39:02.671670,0 days 00:00:07.296438,0.45207749263638997,0.6341918560326559,3,10,0.06049029393778327,0.3234081136376601,60,171,COMPLETE
2,2,0.8222222222222222,2023-08-22 12:39:02.672042,2023-08-22 12:39:10.525934,0 days 00:00:07.853892,0.4140151755192711,0.6276155888223972,5,7,0.07131006958634828,0.2892451143122198,40,153,COMPLETE
3,3,0.9333333333333333,2023-08-22 12:39:10.526312,2023-08-22 12:39:21.747776,0 days 00:00:11.221464,0.4523119474393081,0.5605556135557489,4,14,0.0734960292579957,0.20697066086841392,60,169,COMPLETE
4,4,0.8444444444444444,2023-08-22 12:39:21.748151,2023-08-22 12:39:28.852212,0 days 00:00:07.104061,0.4262846428002529,0.4968034025949493,5,14,0.056044863391229584,0.26026030893178165,50,120,COMPLETE
5,5,0.9111111111111111,2023-08-22 12:39:28.852593,2023-08-22 12:39:33.900345,0 days 00:00:05.047752,0.40878383157138526,0.635587082717596,3,10,0.09524909675503315,0.2468962572422131,50,146,COMPLETE
6,6,0.8444444444444444,2023-08-22 12:39:33.900739,2023-08-22 12:39:39.259948,0 days 00:00:05.359209,0.4928358385325228,0.4819737441529367,5,11,0.057107647652886395,0.19064028577127848,40,159,COMPLETE
7,7,0.8444444444444444,2023-08-22 12:39:39.260332,2023-08-22 12:39:45.837917,0 days 00:00:06.577585,0.47901998051382305,0.5063765195522111,4,13,0.06461224672439073,0.18549570737163318,40,152,COMPLETE
8,8,0.8222222222222222,2023-08-22 12:39:45.838292,2023-08-22 12:39:49.097489,0 days 00:00:03.259197,0.40481811287784436,0.6119937140635674,4,5,0.04909555586567804,0.2874675503306219,50,128,COMPLETE
9,9,0.8222222222222222,2023-08-22 12:39:49.097901,2023-08-22 12:39:57.946937,0 days 00:00:08.849036,0.43597851136351057,0.5656614006228526,5,10,0.08737104095823316,0.3133076782853628,60,155,COMPLETE
10,10,0.8222222222222222,2023-08-22 12:39:57.947328,2023-08-22 12:40:05.485899,0 days 00:00:07.538571,0.46063636669208957,0.4551539203415418,4,18,0.077508023205018,0.16023224190477914,60,179,COMPLETE
11,11,0.8444444444444444,2023-08-22 12:40:05.486385,2023-08-22 12:40:10.639421,0 days 00:00:05.153036,0.43612910184911896,0.5967758425172809,3,15,0.09712558445880427,0.23517105425788146,50,141,COMPLETE
