,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8666666666666667,2023-05-30 22:34:58.248404,2023-05-30 22:35:05.732972,0 days 00:00:07.484568,0.4510479286935045,0.49100627886170645,4,14,0.028905052945034346,0.24370421774831297,50,139,COMPLETE
1,1,0.8666666666666667,2023-05-30 22:35:05.733334,2023-05-30 22:35:12.867024,0 days 00:00:07.133690,0.24402742306033617,0.42064030693492366,5,15,0.04812579915690378,0.3150841424697868,50,128,COMPLETE
2,2,0.8222222222222222,2023-05-30 22:35:12.867402,2023-05-30 22:35:18.467291,0 days 00:00:05.599889,0.17591371024675223,0.3775248088319538,5,15,0.049090723038389156,0.28576092014364585,50,170,COMPLETE
3,3,0.7777777777777778,2023-05-30 22:35:18.467676,2023-05-30 22:35:20.672435,0 days 00:00:02.204759,0.21920071242481237,0.36776170349996284,3,10,0.05575603571951178,0.21710146282560014,50,158,COMPLETE
4,4,0.7555555555555555,2023-05-30 22:35:20.672815,2023-05-30 22:35:26.292251,0 days 00:00:05.619436,0.4884271394780645,0.45318041102692397,4,8,0.029343015175207002,0.2931113917877314,50,145,COMPLETE
5,5,0.7777777777777778,2023-05-30 22:35:26.292630,2023-05-30 22:35:28.963176,0 days 00:00:02.670546,0.623021769968693,0.3916242005964552,4,8,0.07075125073039101,0.1648472397289573,50,156,COMPLETE
6,6,0.8,2023-05-30 22:35:28.963561,2023-05-30 22:35:37.339649,0 days 00:00:08.376088,0.6052979818167994,0.6712865254607618,4,13,0.09543872808374362,0.21364419912293575,40,173,COMPLETE
7,7,0.7111111111111111,2023-05-30 22:35:37.340029,2023-05-30 22:35:38.786252,0 days 00:00:01.446223,0.1240508203912188,0.3809890996815353,4,6,0.042738182265791645,0.2864826650559294,50,123,COMPLETE
8,8,0.8222222222222222,2023-05-30 22:35:38.786628,2023-05-30 22:35:42.404539,0 days 00:00:03.617911,0.33427036309310726,0.6647029656697216,3,9,0.049917605435366635,0.2220127284695615,60,144,COMPLETE
9,9,0.8222222222222222,2023-05-30 22:35:42.405225,2023-05-30 22:35:46.917575,0 days 00:00:04.512350,0.26368554553981105,0.5778535958227686,4,10,0.09236524884479738,0.2679527780075181,50,162,COMPLETE
10,10,0.7555555555555555,2023-05-30 22:35:46.917972,2023-05-30 22:35:53.495061,0 days 00:00:06.577089,0.7635042501913991,0.5144034686705471,3,12,0.02545624042273749,0.346096143901902,40,134,COMPLETE
11,11,0.8888888888888888,2023-05-30 22:35:53.495455,2023-05-30 22:36:04.015936,0 days 00:00:10.520481,0.37881279694489733,0.4711181751802336,5,15,0.03663918357248009,0.3370107402683406,60,120,COMPLETE
12,12,0.8666666666666667,2023-05-30 22:36:04.016322,2023-05-30 22:36:10.710801,0 days 00:00:06.694479,0.40502962017517846,0.5077302215804746,5,13,0.03577062839429373,0.3398084501981156,60,136,COMPLETE
13,13,0.7333333333333333,2023-05-30 22:36:10.711171,2023-05-30 22:36:17.239276,0 days 00:00:06.528105,0.41173448713947036,0.46693506163769105,5,13,0.035870912841300964,0.24729124051774698,60,121,COMPLETE
14,14,0.8666666666666667,2023-05-30 22:36:17.239681,2023-05-30 22:36:28.421910,0 days 00:00:11.182229,0.3456200393319312,0.3057597534092949,5,15,0.025289203298584043,0.31858555970596486,60,136,COMPLETE
15,15,0.8222222222222222,2023-05-30 22:36:28.422561,2023-05-30 22:36:34.944526,0 days 00:00:06.521965,0.4858134149311126,0.5400208846277635,4,12,0.037462667965551436,0.24959224218746828,60,147,COMPLETE
16,16,0.8666666666666667,2023-05-30 22:36:34.944918,2023-05-30 22:36:39.864717,0 days 00:00:04.919799,0.339442446838628,0.5641585747168397,5,14,0.06275938773382189,0.3170975459052605,40,129,COMPLETE
17,17,0.7555555555555555,2023-05-30 22:36:39.865089,2023-05-30 22:36:42.226794,0 days 00:00:02.361705,0.5414739852509907,0.4642929093747499,3,5,0.035465399110906126,0.26337962438882256,60,139,COMPLETE
18,18,0.8666666666666667,2023-05-30 22:36:42.227171,2023-05-30 22:36:46.679894,0 days 00:00:04.452723,0.412779390644121,0.5979385913275713,4,11,0.03046964365874375,0.34799752354460955,60,127,COMPLETE
19,19,0.8888888888888888,2023-05-30 22:36:46.680263,2023-05-30 22:36:52.406357,0 days 00:00:05.726094,0.2924077498693033,0.49158230467132974,4,14,0.04130892495969471,0.2374266009059873,40,152,COMPLETE
