,Unnamed: 0,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0,0.8,2023-05-31 00:37:31.620829,2023-05-31 00:37:34.836533,0 days 00:00:03.215704,0.1851790765842602,0.4183568793414796,5,8,0.0862757061503285,0.2409703671540831,40,162,COMPLETE
1,1,1,0.7777777777777778,2023-05-31 00:37:34.836918,2023-05-31 00:37:36.907038,0 days 00:00:02.070120,0.6272433884306882,0.5036778253307782,3,8,0.0564031771634711,0.2762632333721164,40,126,COMPLETE
2,2,2,0.6888888888888889,2023-05-31 00:37:36.907425,2023-05-31 00:37:39.079961,0 days 00:00:02.172536,0.1243713632838732,0.6102721150455028,5,6,0.0809746965279435,0.3015230086350562,60,121,COMPLETE
3,3,3,0.6888888888888889,2023-05-31 00:37:39.080334,2023-05-31 00:37:40.917390,0 days 00:00:01.837056,0.7085996425692743,0.3189598049908253,3,7,0.0433260003436448,0.1857595189963785,50,133,COMPLETE
4,4,4,0.7777777777777778,2023-05-31 00:37:40.917755,2023-05-31 00:37:42.933826,0 days 00:00:02.016071,0.269787665030169,0.4016041398685904,4,5,0.0388796646562265,0.2186596402453057,40,149,COMPLETE
5,5,5,0.8888888888888888,2023-05-31 00:37:42.934204,2023-05-31 00:37:47.583962,0 days 00:00:04.649758,0.4546034715701013,0.4284091601071701,4,8,0.0303695662532028,0.3261287528056318,60,169,COMPLETE
6,6,6,0.7555555555555555,2023-05-31 00:37:47.584342,2023-05-31 00:37:51.904505,0 days 00:00:04.320163,0.4713511795303485,0.6818781120845956,3,7,0.0281959398427689,0.2005478142292344,60,156,COMPLETE
7,7,7,0.8222222222222222,2023-05-31 00:37:51.904897,2023-05-31 00:37:57.174361,0 days 00:00:05.269464,0.5480168740220283,0.5660235435605943,5,11,0.0779482760841408,0.1663871633012321,60,176,COMPLETE
8,8,8,0.7777777777777778,2023-05-31 00:37:57.174743,2023-05-31 00:38:01.219291,0 days 00:00:04.044548,0.4561341772105046,0.5806922371486645,4,12,0.0880942170719807,0.1876907930162299,50,135,COMPLETE
9,9,9,0.8666666666666667,2023-05-31 00:38:01.219689,2023-05-31 00:38:11.711094,0 days 00:00:10.491405,0.6842556878472156,0.4956276870799315,5,14,0.0323414270458733,0.2666466712241924,50,164,COMPLETE
10,10,10,0.8888888888888888,2023-05-31 00:38:11.711490,2023-05-31 00:38:17.755873,0 days 00:00:06.044383,0.7976163112306621,0.3047034450507001,4,10,0.0250098888387578,0.3460810343540368,60,180,COMPLETE
11,11,11,0.8666666666666667,2023-05-31 00:38:17.756263,2023-05-31 00:38:24.050623,0 days 00:00:06.294360,0.7801827487195857,0.3053391243250928,4,10,0.0251290219920743,0.3466738350874784,60,180,COMPLETE
12,12,12,0.8888888888888888,2023-05-31 00:38:24.051000,2023-05-31 00:38:27.563849,0 days 00:00:03.512849,0.3333189848985924,0.3810382092883416,4,10,0.0479971806143673,0.3469357176445934,60,172,COMPLETE
13,13,13,0.8888888888888888,2023-05-31 00:38:27.564235,2023-05-31 00:38:33.975120,0 days 00:00:06.410885,0.7904568551738342,0.3519485408014797,4,13,0.0373036026201508,0.315298950665345,60,169,COMPLETE
14,14,14,0.7555555555555555,2023-05-31 00:38:33.975526,2023-05-31 00:38:37.242854,0 days 00:00:03.267328,0.5826156563653078,0.4297194178547103,4,9,0.0253928516122464,0.3155723144831249,60,145,COMPLETE
15,15,15,0.8222222222222222,2023-05-31 00:38:37.243254,2023-05-31 00:38:42.279512,0 days 00:00:05.036258,0.3992689735323018,0.343950197602339,3,15,0.0522686643101612,0.3498225363261815,60,180,COMPLETE
16,16,16,0.8444444444444444,2023-05-31 00:38:42.279939,2023-05-31 00:38:45.445447,0 days 00:00:03.165508,0.5373117873656882,0.3004843544553449,4,11,0.0639469753442881,0.296027744892006,60,167,COMPLETE
17,17,17,0.8666666666666667,2023-05-31 00:38:45.445847,2023-05-31 00:38:49.314516,0 days 00:00:03.868669,0.6813685061845989,0.362881474759035,3,9,0.0352233662570857,0.3216962653337211,60,159,COMPLETE
18,18,18,0.8222222222222222,2023-05-31 00:38:49.314909,2023-05-31 00:38:52.186103,0 days 00:00:02.871194,0.379650297980437,0.447385506508884,5,5,0.0998360279681943,0.3258829714816506,40,172,COMPLETE
19,19,19,0.9333333333333332,2023-05-31 00:38:52.186510,2023-05-31 00:38:56.286449,0 days 00:00:04.099939,0.4845165762607586,0.3802314171655765,4,12,0.0445057714537962,0.2921009673696132,50,155,COMPLETE
0,0,0,0.8695652173913043,2023-05-31 00:54:53.941636,2023-05-31 00:54:57.583656,0 days 00:00:03.642020,0.2683303048459929,0.5357227266452829,4,13,0.0853564377807798,0.2210222512336952,60,154,COMPLETE
1,1,1,0.8695652173913043,2023-05-31 00:54:57.584047,2023-05-31 00:55:03.580986,0 days 00:00:05.996939,0.4526628681217636,0.3650266264863804,5,15,0.0569764649142548,0.2714905438832058,60,154,COMPLETE
2,2,2,0.8695652173913043,2023-05-31 00:55:03.581365,2023-05-31 00:55:10.755501,0 days 00:00:07.174136,0.4149903339858939,0.5040758300554832,5,9,0.0285709110974619,0.2845134533549799,50,158,COMPLETE
3,3,3,0.8478260869565217,2023-05-31 00:55:10.755872,2023-05-31 00:55:14.037655,0 days 00:00:03.281783,0.1108424501833514,0.5376031744686228,3,10,0.029641295684911,0.226818659178232,50,139,COMPLETE
4,4,4,0.7391304347826086,2023-05-31 00:55:14.038028,2023-05-31 00:55:16.474267,0 days 00:00:02.436239,0.5270823525049988,0.3586197522717134,3,7,0.0727869537029708,0.3338625291598511,60,154,COMPLETE
5,5,5,0.8260869565217391,2023-05-31 00:55:16.474634,2023-05-31 00:55:18.216134,0 days 00:00:01.741500,0.1626037933232973,0.3666348258288527,3,10,0.0619118826416248,0.2337298820697181,40,165,COMPLETE
6,6,6,0.8043478260869565,2023-05-31 00:55:18.216512,2023-05-31 00:55:20.610769,0 days 00:00:02.394257,0.3186539092923565,0.3395305779830821,4,14,0.0760819501913695,0.2482521825841414,60,126,COMPLETE
7,7,7,0.782608695652174,2023-05-31 00:55:20.611147,2023-05-31 00:55:25.128524,0 days 00:00:04.517377,0.7101037166623653,0.6267113515673929,4,11,0.0894376387636669,0.1770315095689607,60,180,COMPLETE
8,8,8,0.7608695652173914,2023-05-31 00:55:25.128898,2023-05-31 00:55:27.310670,0 days 00:00:02.181772,0.2523397623475871,0.3078602278295255,4,6,0.0459789362037241,0.2288010430330859,40,180,COMPLETE
9,9,9,0.8913043478260869,2023-05-31 00:55:27.311047,2023-05-31 00:55:31.741694,0 days 00:00:04.430647,0.1723971104414227,0.675041764773955,5,8,0.0760367998245863,0.3207791657588834,60,165,COMPLETE
10,10,10,0.8043478260869565,2023-05-31 00:55:31.742061,2023-05-31 00:55:34.571519,0 days 00:00:02.829458,0.1130744767028259,0.6856480317897442,5,5,0.0982011656314917,0.3459468358799463,50,167,COMPLETE
11,11,11,0.7391304347826086,2023-05-31 00:55:34.571914,2023-05-31 00:55:38.977024,0 days 00:00:04.405110,0.2592202221641803,0.5660138145482861,4,13,0.0838268074574786,0.3026856860409372,60,140,COMPLETE
12,12,12,0.8043478260869565,2023-05-31 00:55:38.977411,2023-05-31 00:55:42.858942,0 days 00:00:03.881531,0.3313324980360107,0.6944881832397072,5,8,0.07418231814665,0.1950775549507806,60,144,COMPLETE
13,13,13,0.8913043478260869,2023-05-31 00:55:42.859339,2023-05-31 00:55:47.491383,0 days 00:00:04.632044,0.2249010578503229,0.4477424661417726,4,13,0.0984683448485661,0.3098630560089803,60,169,COMPLETE
14,14,14,0.8260869565217391,2023-05-31 00:55:47.491764,2023-05-31 00:55:51.594848,0 days 00:00:04.103084,0.1903267655608508,0.4456096000744663,5,12,0.098328875253118,0.3163836692833027,60,169,COMPLETE
15,15,15,0.8043478260869565,2023-05-31 00:55:51.595232,2023-05-31 00:55:54.444951,0 days 00:00:02.849719,0.1938270632363085,0.4452767551649347,4,8,0.0998894109545587,0.3138348378784681,40,173,COMPLETE
16,16,16,0.8260869565217391,2023-05-31 00:55:54.445359,2023-05-31 00:56:00.299373,0 days 00:00:05.854014,0.1809403884601989,0.6044401373978832,5,11,0.0895619093011703,0.3480801457214339,60,163,COMPLETE
17,17,17,0.8695652173913043,2023-05-31 00:56:00.299758,2023-05-31 00:56:04.595424,0 days 00:00:04.295666,0.351125412868142,0.4529076863075559,3,15,0.0679365825488022,0.2799863155185579,60,175,COMPLETE
18,18,18,0.8260869565217391,2023-05-31 00:56:04.595820,2023-05-31 00:56:07.758662,0 days 00:00:03.162842,0.106977396624925,0.6430940641296498,4,8,0.0801542131686599,0.3246221789282821,50,161,COMPLETE
19,19,19,0.8260869565217391,2023-05-31 00:56:07.759054,2023-05-31 00:56:12.181157,0 days 00:00:04.422103,0.2304552255301074,0.5840641353752164,5,12,0.0911794382296179,0.2956884949262512,40,126,COMPLETE
0,0,0,0.6444444444444445,2023-05-31 01:08:41.976764,2023-05-31 01:08:44.537093,0 days 00:00:02.560329,0.6959184926528278,0.5460068701933896,5,6,0.0789903537732944,0.3212734554135019,60,130,COMPLETE
1,1,1,0.7111111111111111,2023-05-31 01:08:44.537539,2023-05-31 01:08:49.699084,0 days 00:00:05.161545,0.2378335577768177,0.6758272929727662,4,7,0.0740196342474555,0.2611308728800233,60,163,COMPLETE
2,2,2,0.8,2023-05-31 01:08:49.699494,2023-05-31 01:08:54.002319,0 days 00:00:04.302825,0.282655933210482,0.5828272355945434,4,11,0.0873016328654547,0.3113486432435058,50,150,COMPLETE
3,3,3,0.7333333333333333,2023-05-31 01:08:54.002692,2023-05-31 01:08:56.212328,0 days 00:00:02.209636,0.3756101960625628,0.3034123037848826,3,12,0.0630323764345703,0.2292468925958957,40,176,COMPLETE
4,4,4,0.7555555555555555,2023-05-31 01:08:56.212711,2023-05-31 01:08:59.761811,0 days 00:00:03.549100,0.6427094243728625,0.5423918455442984,5,5,0.0701102674893859,0.268895555344293,50,173,COMPLETE
5,5,5,0.7333333333333333,2023-05-31 01:08:59.762178,2023-05-31 01:09:01.382507,0 days 00:00:01.620329,0.7403703425145455,0.4245795337791351,3,7,0.09222503258848,0.1867004826651602,40,127,COMPLETE
6,6,6,0.6444444444444445,2023-05-31 01:09:01.382880,2023-05-31 01:09:05.303965,0 days 00:00:03.921085,0.2283061815989002,0.5317564760911486,3,13,0.0515613973242286,0.2879669038324123,50,149,COMPLETE
7,7,7,0.9111111111111112,2023-05-31 01:09:05.304332,2023-05-31 01:09:09.430965,0 days 00:00:04.126633,0.4337416441128153,0.5132532651389122,4,15,0.0386419142189292,0.2177089185683684,40,129,COMPLETE
8,8,8,0.6888888888888889,2023-05-31 01:09:09.431649,2023-05-31 01:09:13.116031,0 days 00:00:03.684382,0.7470219456927691,0.6869555304957278,5,5,0.0643000648670967,0.2191696936184306,40,178,COMPLETE
9,9,9,0.7111111111111111,2023-05-31 01:09:13.116402,2023-05-31 01:09:16.230802,0 days 00:00:03.114400,0.2353265697067715,0.4157490225592636,3,10,0.0325428670332301,0.3435831250049138,40,126,COMPLETE
10,10,10,0.8,2023-05-31 01:09:16.231174,2023-05-31 01:09:20.683916,0 days 00:00:04.452742,0.5239702110757378,0.4726214512720652,4,15,0.0263730801195259,0.1511949706923628,40,138,COMPLETE
11,11,11,0.8222222222222222,2023-05-31 01:09:20.684302,2023-05-31 01:09:24.783239,0 days 00:00:04.098937,0.3844179169289165,0.5912525289824802,4,10,0.0989488015492939,0.2959478450715138,50,147,COMPLETE
12,12,12,0.7777777777777778,2023-05-31 01:09:24.783675,2023-05-31 01:09:28.894437,0 days 00:00:04.110762,0.4338583209798889,0.6171457597441339,4,9,0.0998371911437211,0.2416472263121278,50,139,COMPLETE
13,13,13,0.6222222222222222,2023-05-31 01:09:28.894824,2023-05-31 01:09:34.361063,0 days 00:00:05.466239,0.1132869692528442,0.6182013665884498,4,15,0.0511574470728692,0.2876525069659307,50,120,COMPLETE
14,14,14,0.8222222222222222,2023-05-31 01:09:34.361439,2023-05-31 01:09:38.373668,0 days 00:00:04.012229,0.5011302705420736,0.4818591132808641,4,9,0.0483375943751964,0.208354403178118,60,162,COMPLETE
15,15,15,0.8,2023-05-31 01:09:38.374054,2023-05-31 01:09:45.112611,0 days 00:00:06.738557,0.3724804830817567,0.5986672268681993,5,13,0.0833864322435919,0.2500097410660643,40,140,COMPLETE
16,16,16,0.7333333333333333,2023-05-31 01:09:45.112993,2023-05-31 01:09:51.441716,0 days 00:00:06.328723,0.5661747606771732,0.6434091672384421,4,9,0.0402116186228069,0.2716247589435897,50,163,COMPLETE
17,17,17,0.8,2023-05-31 01:09:51.442103,2023-05-31 01:09:55.029975,0 days 00:00:03.587872,0.5902589664716184,0.5750993780306917,3,13,0.0987380140692227,0.1979511029783608,50,156,COMPLETE
