,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.9555555555555556,2023-08-15 11:28:00.543142,2023-08-15 11:28:16.969993,0 days 00:00:16.426851,0.43745616511236485,0.7336960110156261,4,17,0.0348936401621349,0.2817733599036112,40,171,COMPLETE
1,1,0.9333333333333333,2023-08-15 11:28:16.970377,2023-08-15 11:28:24.887719,0 days 00:00:07.917342,0.10210932347847897,0.44630762826440207,3,17,0.031716791032266274,0.22828744960995928,60,142,COMPLETE
2,2,0.8666666666666667,2023-08-15 11:28:24.888093,2023-08-15 11:28:28.349983,0 days 00:00:03.461890,0.23623717207798986,0.27445151754029784,4,19,0.0941898850608952,0.2630811898394198,60,143,COMPLETE
3,3,0.9111111111111111,2023-08-15 11:28:28.350353,2023-08-15 11:28:36.331612,0 days 00:00:07.981259,0.36632683871651206,0.4533091531291173,3,18,0.037276302002474296,0.20180157334666754,50,157,COMPLETE
4,4,0.8666666666666667,2023-08-15 11:28:36.331984,2023-08-15 11:28:42.391900,0 days 00:00:06.059916,0.7763306559819418,0.6984728946204207,5,6,0.09315478780147946,0.18571464624327352,40,178,COMPLETE
5,5,0.8888888888888888,2023-08-15 11:28:42.392274,2023-08-15 11:28:57.740676,0 days 00:00:15.348402,0.4270706329655629,0.798208005229234,3,17,0.03881508276116812,0.28869709762394435,60,161,COMPLETE
6,6,0.8,2023-08-15 11:28:57.741051,2023-08-15 11:29:01.762942,0 days 00:00:04.021891,0.3637009118357186,0.4383207834684842,3,11,0.040019177638181073,0.21590083992953027,40,149,COMPLETE
7,7,0.8444444444444444,2023-08-15 11:29:01.763318,2023-08-15 11:29:05.847348,0 days 00:00:04.084030,0.4533528446876025,0.7430186638429312,3,6,0.09440491658322703,0.2964828885052181,50,143,COMPLETE
8,8,0.9333333333333333,2023-08-15 11:29:05.847723,2023-08-15 11:29:17.230316,0 days 00:00:11.382593,0.21305668278748885,0.6382255134563879,4,18,0.04424989318539749,0.21178313704051666,40,180,COMPLETE
9,9,0.8666666666666667,2023-08-15 11:29:17.230782,2023-08-15 11:29:19.089017,0 days 00:00:01.858235,0.11570743091281238,0.39569552151302956,3,7,0.07632346962735803,0.29284871635810106,60,130,COMPLETE
10,10,0.9333333333333333,2023-08-15 11:29:19.089394,2023-08-15 11:29:29.173175,0 days 00:00:10.083781,0.5863253095701216,0.6064843603464174,5,13,0.054791207477567494,0.3460759181948142,40,167,COMPLETE
11,11,0.8888888888888888,2023-08-15 11:29:29.173555,2023-08-15 11:29:36.151158,0 days 00:00:06.977603,0.12193230869881669,0.5722236120763489,4,15,0.029187048296789683,0.16081139400494304,60,126,COMPLETE
12,12,0.9555555555555556,2023-08-15 11:29:36.151535,2023-08-15 11:29:41.930983,0 days 00:00:05.779448,0.265617165998484,0.5397035346784954,4,15,0.025590421300539998,0.24322898533303774,40,137,COMPLETE
