,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.7555555555555555,2023-05-30 23:13:46.170345,2023-05-30 23:13:49.005563,0 days 00:00:02.835218,0.6828880408999912,0.3153429421154076,3,6,0.09258090820531384,0.15559508301902622,40,130,COMPLETE
1,1,0.7555555555555555,2023-05-30 23:13:49.005934,2023-05-30 23:13:56.573627,0 days 00:00:07.567693,0.21602938956461304,0.6980276693193587,5,5,0.05521370478505393,0.3183377715118666,60,128,COMPLETE
2,2,0.7777777777777778,2023-05-30 23:13:56.574034,2023-05-30 23:14:09.114543,0 days 00:00:12.540509,0.38353116038045065,0.4449792399384177,4,10,0.06941348141549747,0.3219280405243936,50,155,COMPLETE
3,3,0.7333333333333333,2023-05-30 23:14:09.114934,2023-05-30 23:14:12.564085,0 days 00:00:03.449151,0.12340422008189336,0.6354195786419942,3,6,0.04917818631196838,0.2033079357731735,40,158,COMPLETE
4,4,0.8666666666666667,2023-05-30 23:14:12.564464,2023-05-30 23:15:00.803537,0 days 00:00:48.239073,0.6600745582597761,0.6664948439747469,5,14,0.04836867752785934,0.28911226272731416,60,140,COMPLETE
5,5,0.7777777777777778,2023-05-30 23:15:00.803939,2023-05-30 23:15:12.245667,0 days 00:00:11.441728,0.3234100268720013,0.4240436698468253,5,8,0.05822594347568639,0.339899070192704,50,139,COMPLETE
6,6,0.6222222222222222,2023-05-30 23:15:12.246087,2023-05-30 23:15:18.771142,0 days 00:00:06.525055,0.3090917286270455,0.4179258335397796,5,5,0.07266519831702675,0.24746338723050815,40,173,COMPLETE
7,7,0.7111111111111111,2023-05-30 23:15:18.771536,2023-05-30 23:15:39.512821,0 days 00:00:20.741285,0.5654252367156968,0.38764262935426025,5,12,0.0563442819475785,0.30097548391212425,50,139,COMPLETE
8,8,0.8,2023-05-30 23:15:39.513216,2023-05-30 23:15:53.632581,0 days 00:00:14.119365,0.19902537872271475,0.4431188518556152,5,12,0.08471903100393746,0.3399363151953326,50,172,COMPLETE
9,9,0.6888888888888889,2023-05-30 23:15:53.632962,2023-05-30 23:15:57.517215,0 days 00:00:03.884253,0.36106563005167436,0.40179848303026494,3,6,0.051011228052418776,0.18668181815731466,50,142,COMPLETE
10,10,0.8444444444444444,2023-05-30 23:15:57.517599,2023-05-30 23:16:39.436699,0 days 00:00:41.919100,0.7811745436957633,0.5630987326437726,4,15,0.03224502565395038,0.26664233314281965,60,163,COMPLETE
11,11,0.7777777777777778,2023-05-30 23:16:39.437100,2023-05-30 23:17:25.606694,0 days 00:00:46.169594,0.7750916573616846,0.5710819154565235,4,15,0.031114118445797305,0.28017311164542946,60,162,COMPLETE
12,12,0.9333333333333333,2023-05-30 23:17:25.607112,2023-05-30 23:17:41.768205,0 days 00:00:16.161093,0.7797115329771269,0.5515710784906812,4,15,0.03117808772910788,0.2718841219087752,60,120,COMPLETE
13,13,0.8222222222222222,2023-05-30 23:17:41.768590,2023-05-30 23:18:07.235063,0 days 00:00:25.466473,0.6053099413709713,0.5394102224348083,4,13,0.04065261750180403,0.2364809935521319,60,121,COMPLETE
14,14,0.8222222222222222,2023-05-30 23:18:07.235521,2023-05-30 23:18:43.890189,0 days 00:00:36.654668,0.5403536819603939,0.6239564507014358,4,14,0.02654102565062709,0.29523382115849245,60,120,COMPLETE
15,15,0.7777777777777778,2023-05-30 23:18:43.890602,2023-05-30 23:19:05.608870,0 days 00:00:21.718268,0.6803301205374426,0.5183010426184014,4,11,0.04193786062709298,0.26899707338771117,60,148,COMPLETE
16,16,0.9111111111111111,2023-05-30 23:19:05.609257,2023-05-30 23:19:39.934054,0 days 00:00:34.324797,0.47273159751408994,0.6917003270736765,5,14,0.03852949077070012,0.23762413379261357,60,130,COMPLETE
17,17,0.8222222222222222,2023-05-30 23:19:39.934463,2023-05-30 23:19:51.455466,0 days 00:00:11.521003,0.4800218713283698,0.6063904943009542,3,9,0.03449999661810585,0.22986868445785508,60,129,COMPLETE
18,18,0.8888888888888888,2023-05-30 23:19:51.455863,2023-05-30 23:20:15.805325,0 days 00:00:24.349462,0.4671287718315148,0.6956528985393031,4,13,0.03992122542315736,0.24942665795144195,60,133,COMPLETE
19,19,0.8888888888888888,2023-05-30 23:20:15.805735,2023-05-30 23:20:46.253900,0 days 00:00:30.448165,0.5126308107517623,0.48556527470737365,4,15,0.025425939779225006,0.2214680507325219,60,124,COMPLETE
