,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.9555555555555556,2023-08-16 05:50:50.120013,2023-08-16 05:51:15.448640,0 days 00:00:25.328627,0.4485479885834046,0.5959691369728821,4,19,0.07178181226225731,0.18604013536678682,60,130,COMPLETE
1,1,0.8888888888888888,2023-08-16 05:51:15.449041,2023-08-16 05:51:37.107611,0 days 00:00:21.658570,0.2690672472013885,0.4758030688786875,5,8,0.026782220316513825,0.20683996907408675,50,165,COMPLETE
2,2,0.9777777777777777,2023-08-16 05:51:37.108024,2023-08-16 05:51:48.459512,0 days 00:00:11.351488,0.2057682465329904,0.3743499040174854,3,16,0.041381455093676134,0.2873446283557048,50,139,COMPLETE
3,3,0.9111111111111111,2023-08-16 05:51:48.459909,2023-08-16 05:51:57.669007,0 days 00:00:09.209098,0.5234022872395837,0.5642814873966542,3,11,0.06001377955043118,0.2879491296776503,40,134,COMPLETE
4,4,0.8444444444444444,2023-08-16 05:51:57.669409,2023-08-16 05:52:11.241629,0 days 00:00:13.572220,0.6801868394423947,0.792129892313004,4,8,0.05811715643266062,0.19295242184453787,60,153,COMPLETE
5,5,0.9555555555555556,2023-08-16 05:52:11.242050,2023-08-16 05:53:01.259639,0 days 00:00:50.017589,0.1695629103376603,0.5400405541779979,5,15,0.03565256329403357,0.2861590273526453,60,141,COMPLETE
6,6,0.9111111111111111,2023-08-16 05:53:01.260063,2023-08-16 05:53:17.219902,0 days 00:00:15.959839,0.1037109541024212,0.7176124913508457,4,9,0.03182766865327863,0.20031003512684423,50,146,COMPLETE
7,7,0.8666666666666667,2023-08-16 05:53:17.220314,2023-08-16 05:53:24.300654,0 days 00:00:07.080340,0.5266223645704292,0.34217705724872327,4,8,0.08200986486690931,0.2809252064463722,40,173,COMPLETE
8,8,0.8888888888888888,2023-08-16 05:53:24.301050,2023-08-16 05:53:55.459305,0 days 00:00:31.158255,0.4647748396386251,0.2578234803128958,4,19,0.05590818769204779,0.34904526173087613,50,133,COMPLETE
9,9,0.8888888888888888,2023-08-16 05:53:55.459740,2023-08-16 05:54:01.372704,0 days 00:00:05.912964,0.2080460561769684,0.4234637120460697,3,11,0.07099014549744048,0.2057657523845474,40,157,COMPLETE
10,10,0.9777777777777777,2023-08-16 05:54:01.373097,2023-08-16 05:54:05.199491,0 days 00:00:03.826394,0.30842017533626304,0.21733949513011971,3,15,0.09295353361656254,0.2536452046586186,50,120,COMPLETE
11,11,0.9777777777777777,2023-08-16 05:54:05.199882,2023-08-16 05:54:09.829981,0 days 00:00:04.630099,0.3108992558668471,0.24567002147351305,3,15,0.09955873242647555,0.2460986689127595,50,122,COMPLETE
12,12,0.9777777777777777,2023-08-16 05:54:09.830377,2023-08-16 05:54:15.442375,0 days 00:00:05.611998,0.3264628543982366,0.2045823493347083,3,15,0.04306386839751513,0.24407349888467444,50,120,COMPLETE
13,13,0.8444444444444444,2023-08-16 05:54:15.442764,2023-08-16 05:54:17.724878,0 days 00:00:02.282114,0.10922624520824681,0.3387105736612292,3,5,0.04715403982742895,0.15077427195032245,50,139,COMPLETE
14,14,0.9333333333333333,2023-08-16 05:54:17.725256,2023-08-16 05:54:25.705928,0 days 00:00:07.980672,0.35779319259254205,0.35413674834421316,3,17,0.098888605068685,0.31547942715528837,50,127,COMPLETE
15,15,0.8444444444444444,2023-08-16 05:54:25.706330,2023-08-16 05:54:42.710206,0 days 00:00:17.003876,0.19902145119082376,0.29174079344053583,3,13,0.04715804957859051,0.26882391024369207,50,179,COMPLETE
16,16,0.9333333333333333,2023-08-16 05:54:42.710614,2023-08-16 05:54:52.323099,0 days 00:00:09.612485,0.2426641216294424,0.22231642144030478,3,17,0.08874540328526503,0.23235111134485092,50,145,COMPLETE
17,17,0.9111111111111111,2023-08-16 05:54:52.323505,2023-08-16 05:55:14.717258,0 days 00:00:22.393753,0.3754965906622631,0.41556164511115035,5,13,0.06525751318712589,0.30637109546254593,50,160,COMPLETE
18,18,0.8666666666666667,2023-08-16 05:55:14.717672,2023-08-16 05:55:27.547856,0 days 00:00:12.830184,0.2708189921553182,0.2966525507227128,3,17,0.07864402528319706,0.26490034517951694,40,124,COMPLETE
19,19,0.9111111111111111,2023-08-16 05:55:27.548267,2023-08-16 05:55:32.220169,0 days 00:00:04.671902,0.16950483849663506,0.39654358528105976,4,14,0.09078269665096356,0.2582059441508749,60,137,COMPLETE
20,20,0.9777777777777777,2023-08-16 05:55:32.220557,2023-08-16 05:55:49.973154,0 days 00:00:17.752597,0.7817073265273042,0.28612860682333424,3,20,0.051413139519400304,0.23059061193416308,50,149,COMPLETE
21,21,0.9111111111111111,2023-08-16 05:55:49.973589,2023-08-16 05:55:53.527711,0 days 00:00:03.554122,0.304731536178837,0.20631040419210578,3,16,0.09930061322993154,0.24517078776205617,50,121,COMPLETE
22,22,0.8666666666666667,2023-08-16 05:55:53.528098,2023-08-16 05:55:59.861377,0 days 00:00:06.333279,0.3087750827882257,0.24986497142715205,3,15,0.09268271911771676,0.2549291338460966,50,126,COMPLETE
23,23,0.8888888888888888,2023-08-16 05:55:59.861778,2023-08-16 05:56:03.060184,0 days 00:00:03.198406,0.24072481156089004,0.27054280035766415,3,11,0.08377300905939684,0.22469540539156754,50,131,COMPLETE
24,24,0.9777777777777777,2023-08-16 05:56:03.060588,2023-08-16 05:56:09.185927,0 days 00:00:06.125339,0.34235776197641776,0.3189725337330726,3,18,0.09956651573667953,0.2637295944141434,50,126,COMPLETE
25,25,0.9333333333333333,2023-08-16 05:56:09.186331,2023-08-16 05:56:15.633791,0 days 00:00:06.447460,0.39530351538359454,0.25070833830840916,4,14,0.09394787217493039,0.2756751565147115,50,122,COMPLETE
26,26,0.9333333333333333,2023-08-16 05:56:15.634218,2023-08-16 05:56:25.353220,0 days 00:00:09.719002,0.28675762163945734,0.3733613697110062,3,16,0.08643139439747145,0.24594737266806393,50,136,COMPLETE
27,27,0.8666666666666667,2023-08-16 05:56:25.353618,2023-08-16 05:56:30.587162,0 days 00:00:05.233544,0.2180350893294711,0.32266287496676244,3,12,0.07761659621377585,0.3009147440836739,50,129,COMPLETE
28,28,0.9777777777777777,2023-08-16 05:56:30.587563,2023-08-16 05:56:36.853410,0 days 00:00:06.265847,0.15654560402638407,0.2033278902799959,4,14,0.09414739984298272,0.2727911939360829,60,145,COMPLETE
29,29,1.0,2023-08-16 05:56:36.853813,2023-08-16 05:56:49.457358,0 days 00:00:12.603545,0.41049059457857395,0.4669339838898654,4,19,0.06889048158232512,0.22332101718688374,40,130,COMPLETE
