,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.7111111111111111,2023-05-31 01:16:17.189603,2023-05-31 01:16:20.787628,0 days 00:00:03.598025,0.2412460565448645,0.44061121528919456,4,10,0.08559798051184646,0.2565071178949125,50,169,COMPLETE
1,1,0.7333333333333333,2023-05-31 01:16:20.787996,2023-05-31 01:16:25.771940,0 days 00:00:04.983944,0.6674844888401765,0.5233565223836871,4,11,0.030283809085974257,0.1528396479989448,60,161,COMPLETE
2,2,0.6222222222222222,2023-05-31 01:16:25.772309,2023-05-31 01:16:28.075692,0 days 00:00:02.303383,0.14943459114150526,0.5515171663454855,3,8,0.06021954019723441,0.24493423025800665,60,153,COMPLETE
3,3,0.6444444444444445,2023-05-31 01:16:28.076060,2023-05-31 01:16:33.050411,0 days 00:00:04.974351,0.6039537536559642,0.6385427502266221,3,13,0.05013725380996026,0.1638993430973614,60,158,COMPLETE
4,4,0.6666666666666666,2023-05-31 01:16:33.050807,2023-05-31 01:16:36.892296,0 days 00:00:03.841489,0.7142410474316592,0.4670936391324607,5,14,0.0537758842808426,0.17542790393957186,40,120,COMPLETE
5,5,0.5777777777777777,2023-05-31 01:16:36.892685,2023-05-31 01:16:39.616162,0 days 00:00:02.723477,0.39943245068701283,0.34450182792349215,3,13,0.08770828110619994,0.22569379853024105,60,148,COMPLETE
6,6,0.6,2023-05-31 01:16:39.616554,2023-05-31 01:16:42.693241,0 days 00:00:03.076687,0.2639982834673127,0.45093280556544585,4,7,0.06578590274220772,0.23567594251234406,40,167,COMPLETE
7,7,0.5555555555555556,2023-05-31 01:16:42.693633,2023-05-31 01:16:45.103546,0 days 00:00:02.409913,0.6107095604968226,0.4472016016018822,3,5,0.040113119912051756,0.32481010435205426,60,151,COMPLETE
8,8,0.7333333333333333,2023-05-31 01:16:45.103921,2023-05-31 01:16:52.266175,0 days 00:00:07.162254,0.7050236974360459,0.4888856641452851,5,11,0.034855142306938536,0.20464922177329517,40,175,COMPLETE
9,9,0.6444444444444445,2023-05-31 01:16:52.266559,2023-05-31 01:16:54.588372,0 days 00:00:02.321813,0.31971825260660824,0.34124743115088574,5,12,0.07335606784539561,0.3144453396306117,40,129,COMPLETE
10,10,0.7333333333333333,2023-05-31 01:16:54.588760,2023-05-31 01:17:01.404696,0 days 00:00:06.815936,0.7971673401616924,0.6612049514495943,4,15,0.026944746519928616,0.15145254568962097,50,135,COMPLETE
11,11,0.7111111111111111,2023-05-31 01:17:01.405083,2023-05-31 01:17:10.643083,0 days 00:00:09.238000,0.5550713814571723,0.5424350019300958,5,10,0.026809151139408814,0.19074693550470076,40,180,COMPLETE
12,12,0.8,2023-05-31 01:17:10.643486,2023-05-31 01:17:19.888662,0 days 00:00:09.245176,0.7057405571159013,0.5312776052450481,5,11,0.040138571853014574,0.20078727861729706,60,176,COMPLETE
13,13,0.6444444444444445,2023-05-31 01:17:19.889052,2023-05-31 01:17:25.419330,0 days 00:00:05.530278,0.49593648617495095,0.5893866574083764,4,9,0.04275517309226176,0.15293255995454333,60,163,COMPLETE
14,14,0.7111111111111111,2023-05-31 01:17:25.419733,2023-05-31 01:17:32.473057,0 days 00:00:07.053324,0.7912957685355897,0.6898060746005121,4,11,0.035287600674409225,0.19262889789984902,60,173,COMPLETE
15,15,0.6444444444444445,2023-05-31 01:17:32.473444,2023-05-31 01:17:35.648256,0 days 00:00:03.174812,0.6634665565261609,0.5276789679376619,5,7,0.04584574467056837,0.182094251999004,60,143,COMPLETE
16,16,0.7111111111111111,2023-05-31 01:17:35.648913,2023-05-31 01:17:44.665644,0 days 00:00:09.016731,0.49641944344033156,0.6064282198197115,4,12,0.032660070396938884,0.21784301237613626,60,161,COMPLETE
17,17,0.6888888888888889,2023-05-31 01:17:44.666024,2023-05-31 01:17:50.485210,0 days 00:00:05.819186,0.6458235889096253,0.5811248877795738,5,9,0.04249557961450384,0.17432809520066217,50,178,COMPLETE
18,18,0.7111111111111111,2023-05-31 01:17:50.485601,2023-05-31 01:18:00.837863,0 days 00:00:10.352262,0.553098630407315,0.5092730826836392,4,11,0.02567674061675559,0.21038866869722256,60,168,COMPLETE
19,19,0.6444444444444445,2023-05-31 01:18:00.838251,2023-05-31 01:18:03.030198,0 days 00:00:02.191947,0.7264159092039,0.4004026706269024,4,5,0.0507371459054964,0.16425139499452307,60,158,COMPLETE
