,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.9333333333333333,2023-08-22 14:56:18.466342,2023-08-22 14:56:28.820832,0 days 00:00:10.354490,0.23143442297065114,0.7130505560399126,4,18,0.026630889300421748,0.33092084048418957,40,146,COMPLETE
1,1,0.9333333333333333,2023-08-22 14:56:28.821197,2023-08-22 14:56:36.874772,0 days 00:00:08.053575,0.6814550572728728,0.6233014899941709,4,18,0.057861214285444454,0.2675809947308674,60,171,COMPLETE
2,2,0.9111111111111111,2023-08-22 14:56:36.875157,2023-08-22 14:56:40.834259,0 days 00:00:03.959102,0.6546759215402165,0.6060776759152349,3,17,0.09438661574335172,0.26160796901377287,50,131,COMPLETE
3,3,0.9111111111111111,2023-08-22 14:56:40.834656,2023-08-22 14:56:48.643672,0 days 00:00:07.809016,0.6340131099048478,0.7194696414982645,3,14,0.054565426212042314,0.33749377022948623,40,160,COMPLETE
4,4,0.8888888888888888,2023-08-22 14:56:48.644061,2023-08-22 14:56:53.809436,0 days 00:00:05.165375,0.2958981119824677,0.6494337905360879,5,12,0.07992572943598515,0.3220317824099792,60,135,COMPLETE
5,5,0.9111111111111111,2023-08-22 14:56:53.809808,2023-08-22 14:57:05.824694,0 days 00:00:12.014886,0.6837647535331498,0.7183224149034184,5,15,0.09353839624394325,0.32641023973214967,60,177,COMPLETE
6,6,0.8888888888888888,2023-08-22 14:57:05.825069,2023-08-22 14:57:12.503103,0 days 00:00:06.678034,0.6299705657780967,0.6502275913613159,3,13,0.05090817491122503,0.2484275636447792,40,147,COMPLETE
7,7,0.9111111111111111,2023-08-22 14:57:12.503483,2023-08-22 14:57:20.718563,0 days 00:00:08.215080,0.6746390283698636,0.670562514846893,5,12,0.04605654415439679,0.25222659029476535,50,174,COMPLETE
8,8,0.9333333333333333,2023-08-22 14:57:20.718956,2023-08-22 14:57:23.686646,0 days 00:00:02.967690,0.6768642145392334,0.658705992716348,3,12,0.08355122057712071,0.2486007371360419,60,123,COMPLETE
9,9,0.8888888888888888,2023-08-22 14:57:23.687033,2023-08-22 14:57:28.773743,0 days 00:00:05.086710,0.6358654661410744,0.6016510537553783,3,17,0.047087998832177125,0.2602358972606197,60,122,COMPLETE
10,10,0.8888888888888888,2023-08-22 14:57:28.774150,2023-08-22 14:57:41.765092,0 days 00:00:12.990942,0.20132021936596653,0.7705028529425441,4,20,0.029060493496354492,0.29999812648820245,40,147,COMPLETE
11,11,0.8,2023-08-22 14:57:41.765489,2023-08-22 14:57:53.915810,0 days 00:00:12.150321,0.790359447124161,0.6982493830039542,4,19,0.02768242225352933,0.2851585117112907,40,161,COMPLETE
12,12,0.8888888888888888,2023-08-22 14:57:53.916196,2023-08-22 14:58:06.667834,0 days 00:00:12.751638,0.44545593859739685,0.7551036310755833,4,18,0.06614691975291542,0.2256297885740942,60,161,COMPLETE
13,13,0.8888888888888888,2023-08-22 14:58:06.668227,2023-08-22 14:58:18.492166,0 days 00:00:11.823939,0.44209043800076986,0.7865369025600277,4,16,0.03404697374061398,0.30447207821252015,40,139,COMPLETE
14,14,0.9111111111111111,2023-08-22 14:58:18.492558,2023-08-22 14:58:35.239532,0 days 00:00:16.746974,0.5097630994684998,0.7421556308182515,4,20,0.03897668880106069,0.3486596094054245,50,169,COMPLETE
15,15,0.8888888888888888,2023-08-22 14:58:35.239917,2023-08-22 14:58:43.747963,0 days 00:00:08.508046,0.31118701481751976,0.6976769007225472,4,18,0.06240625092095235,0.2807867390784889,60,154,COMPLETE
16,16,0.8666666666666667,2023-08-22 14:58:43.748353,2023-08-22 14:58:55.251225,0 days 00:00:11.502872,0.5297684580415023,0.6263101747923314,5,16,0.025586536464452702,0.3107474735303205,40,142,COMPLETE
17,17,0.8222222222222222,2023-08-22 14:58:55.251614,2023-08-22 14:59:10.046878,0 days 00:00:14.795264,0.37755882668160956,0.6825062308562347,4,18,0.042090214540990135,0.29467813069651866,60,168,COMPLETE
18,18,0.8444444444444444,2023-08-22 14:59:10.047279,2023-08-22 14:59:19.733965,0 days 00:00:09.686686,0.207718059603266,0.6380325966226084,5,19,0.03672113803623793,0.348442818267684,40,153,COMPLETE
19,19,0.8444444444444444,2023-08-22 14:59:19.734357,2023-08-22 14:59:28.415673,0 days 00:00:08.681316,0.5429116926545554,0.6777554132441995,4,15,0.05670697117435154,0.2774474748844444,50,168,COMPLETE
20,20,0.8478260869565217,2023-08-22 14:59:28.416066,2023-08-22 14:59:42.053195,0 days 00:00:13.637129,0.5754739555177779,0.6304633476565255,4,17,0.03188449418215664,0.3163545345187492,60,158,COMPLETE
21,21,0.717391304347826,2023-08-22 14:59:42.053599,2023-08-22 14:59:44.990231,0 days 00:00:02.936632,0.7440529995783234,0.6666974377739479,3,11,0.07012455210362296,0.2697775872836068,60,120,COMPLETE
22,22,0.8043478260869565,2023-08-22 14:59:44.990624,2023-08-22 14:59:50.348984,0 days 00:00:05.358360,0.5824576364284659,0.6528904978194028,3,14,0.07351835632972882,0.29277107510174477,60,129,COMPLETE
23,23,0.782608695652174,2023-08-22 14:59:50.349653,2023-08-22 14:59:54.874675,0 days 00:00:04.525022,0.7259440261313377,0.6222951515798725,3,19,0.08323137191443347,0.24284574065350842,60,128,COMPLETE
24,24,0.782608695652174,2023-08-22 14:59:54.875067,2023-08-22 14:59:59.010294,0 days 00:00:04.135227,0.4690321339780186,0.6589039197098729,3,11,0.05635526139191543,0.2709406692093496,60,143,COMPLETE
25,25,0.8043478260869565,2023-08-22 14:59:59.010693,2023-08-22 15:00:05.985020,0 days 00:00:06.974327,0.5947455005301038,0.6860185982673989,4,14,0.04152938668519231,0.2883027140654233,40,133,COMPLETE
26,26,0.8260869565217391,2023-08-22 15:00:05.985413,2023-08-22 15:00:13.080177,0 days 00:00:07.094764,0.7994198093907539,0.640424471800371,5,16,0.06121305672276247,0.3025644853224807,60,125,COMPLETE
27,27,0.8043478260869565,2023-08-22 15:00:13.080572,2023-08-22 15:00:23.286016,0 days 00:00:10.205444,0.7093989706943076,0.6199868913187773,4,18,0.04921599858225049,0.33501804308083644,60,179,COMPLETE
28,28,0.8043478260869565,2023-08-22 15:00:23.286415,2023-08-22 15:00:30.560459,0 days 00:00:07.274044,0.7452721582549056,0.6662315806098266,3,17,0.03440577435651818,0.27556627107971804,50,137,COMPLETE
29,29,0.6956521739130435,2023-08-22 15:00:30.560856,2023-08-22 15:00:35.362694,0 days 00:00:04.801838,0.6914707861213286,0.6108276910258634,4,13,0.09877896557185686,0.264672289601724,40,173,COMPLETE
30,30,0.9111111111111111,2023-08-22 15:00:35.363082,2023-08-22 15:00:43.708700,0 days 00:00:08.345618,0.60450997505864,0.6377622514356788,3,19,0.0423772831767362,0.2606685865658651,50,165,COMPLETE
31,31,0.8666666666666667,2023-08-22 15:00:43.709100,2023-08-22 15:00:48.307680,0 days 00:00:04.598580,0.6596638127485943,0.6039872653621012,3,17,0.09058512748103303,0.25522004278494537,50,130,COMPLETE
32,32,0.8666666666666667,2023-08-22 15:00:48.308069,2023-08-22 15:00:52.019227,0 days 00:00:03.711158,0.64513660302246,0.6161779084168171,3,17,0.07903973247412395,0.2675106322744959,50,125,COMPLETE
33,33,0.8,2023-08-22 15:00:52.019624,2023-08-22 15:00:55.106556,0 days 00:00:03.086932,0.6741258290957755,0.6000749389938207,3,15,0.0872506391029279,0.24240321004523968,50,134,COMPLETE
34,34,0.8666666666666667,2023-08-22 15:00:55.106942,2023-08-22 15:01:01.047300,0 days 00:00:05.940358,0.6132631486176734,0.7152593077627862,3,18,0.07803731151552024,0.3295373626607355,40,124,COMPLETE
35,35,0.8444444444444444,2023-08-22 15:01:01.047709,2023-08-22 15:01:08.687707,0 days 00:00:07.639998,0.5584028725822173,0.6481010534116995,5,13,0.0986803912405658,0.3202715870503515,60,149,COMPLETE
36,36,0.8666666666666667,2023-08-22 15:01:08.688103,2023-08-22 15:01:12.536394,0 days 00:00:03.848291,0.6579966985490583,0.6131644565995966,3,12,0.08506670377827924,0.28094867499987664,50,143,COMPLETE
37,37,0.8444444444444444,2023-08-22 15:01:12.536783,2023-08-22 15:01:18.078069,0 days 00:00:05.541286,0.6202620726741299,0.629168900015108,3,16,0.053032274559923945,0.260042346426198,60,132,COMPLETE
38,38,0.8444444444444444,2023-08-22 15:01:18.078475,2023-08-22 15:01:22.815077,0 days 00:00:04.736602,0.6943846502671683,0.6575269203957023,4,20,0.09339691477117563,0.27383292786994645,40,120,COMPLETE
39,39,0.8666666666666667,2023-08-22 15:01:22.815472,2023-08-22 15:01:30.147919,0 days 00:00:07.332447,0.6336600402699334,0.6107224291317884,5,17,0.07519332172860457,0.2533456515199354,50,157,COMPLETE
40,40,0.8444444444444444,2023-08-22 15:01:30.148318,2023-08-22 15:01:36.006622,0 days 00:00:05.858304,0.7663060575817886,0.6457464258330509,4,19,0.0683016161574742,0.24635705424984394,60,137,COMPLETE
41,41,0.8444444444444444,2023-08-22 15:01:36.007063,2023-08-22 15:01:42.440100,0 days 00:00:06.433037,0.6974462422101202,0.7172315123061835,3,14,0.04679104830005068,0.3334157104969052,40,163,COMPLETE
42,42,0.8444444444444444,2023-08-22 15:01:42.440524,2023-08-22 15:01:48.688108,0 days 00:00:06.247584,0.6639899992361362,0.7340006070445375,3,12,0.06539551552924089,0.3371514811360573,40,173,COMPLETE
43,43,0.8666666666666667,2023-08-22 15:01:48.688518,2023-08-22 15:01:55.254075,0 days 00:00:06.565557,0.6316901333661489,0.7072730067772922,3,13,0.05135677194555526,0.3244329724202394,40,158,COMPLETE
