,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8695652173913043,2023-05-30 22:56:20.888573,2023-05-30 22:56:29.642807,0 days 00:00:08.754234,0.3905022885394066,0.5926100371452588,5,9,0.04610530519453697,0.3436869390680863,40,145,COMPLETE
1,1,0.8043478260869565,2023-05-30 22:56:29.643172,2023-05-30 22:56:34.971869,0 days 00:00:05.328697,0.5013391175808672,0.5663852229423518,3,10,0.09845494083918058,0.24594826562857344,60,151,COMPLETE
2,2,0.9347826086956522,2023-05-30 22:56:34.972250,2023-05-30 22:56:42.734504,0 days 00:00:07.762254,0.4055574457956216,0.41960370893518734,5,14,0.09394272775211437,0.18520214950383393,60,165,COMPLETE
3,3,0.8260869565217391,2023-05-30 22:56:42.734882,2023-05-30 22:56:45.951605,0 days 00:00:03.216723,0.31118010422583897,0.6230510124881181,3,8,0.09509314051543971,0.276275126190918,60,138,COMPLETE
4,4,0.8478260869565217,2023-05-30 22:56:45.952002,2023-05-30 22:56:51.605657,0 days 00:00:05.653655,0.4675340065820828,0.536576905931645,4,10,0.06669348879131086,0.18479634448720905,40,174,COMPLETE
5,5,0.8260869565217391,2023-05-30 22:56:51.606042,2023-05-30 22:56:59.182445,0 days 00:00:07.576403,0.10281506663530461,0.388890704395491,5,14,0.040960876351700634,0.3313946171431732,40,176,COMPLETE
6,6,0.8478260869565217,2023-05-30 22:56:59.182914,2023-05-30 22:57:10.954626,0 days 00:00:11.771712,0.6418115179568378,0.5543230790952943,5,10,0.03568571566842958,0.22630718206569678,50,164,COMPLETE
7,7,0.782608695652174,2023-05-30 22:57:10.955019,2023-05-30 22:57:14.764172,0 days 00:00:03.809153,0.5483769579073824,0.5832346346234045,4,6,0.09324601248920647,0.2911499135883153,40,139,COMPLETE
8,8,0.8478260869565217,2023-05-30 22:57:14.764554,2023-05-30 22:57:17.672353,0 days 00:00:02.907799,0.48797816047581377,0.31406336495974446,5,8,0.09192316659037919,0.2693637979922996,40,144,COMPLETE
9,9,0.8695652173913043,2023-05-30 22:57:17.672735,2023-05-30 22:57:19.998494,0 days 00:00:02.325759,0.4790368206849286,0.31253439628273305,4,7,0.07541108569546268,0.22695566657096594,50,125,COMPLETE
10,10,0.8695652173913043,2023-05-30 22:57:19.998871,2023-05-30 22:57:36.475652,0 days 00:00:16.476781,0.7300394658235869,0.6725932435640752,5,15,0.02578015825248413,0.15564292004003605,60,163,COMPLETE
11,11,0.8695652173913043,2023-05-30 22:57:36.476034,2023-05-30 22:57:46.463038,0 days 00:00:09.987004,0.33015639328006163,0.46199626645981934,5,13,0.054993897031934524,0.34267215078936253,60,158,COMPLETE
12,12,0.8260869565217391,2023-05-30 22:57:46.463422,2023-05-30 22:57:52.009179,0 days 00:00:05.545757,0.3386736030337358,0.46287890759418127,5,12,0.07898540985725347,0.19174633600994168,40,153,COMPLETE
13,13,0.9130434782608695,2023-05-30 22:57:52.009550,2023-05-30 22:57:58.039152,0 days 00:00:06.029602,0.7930715524349017,0.4870697070560141,4,12,0.05349963834928265,0.31975401678487736,60,130,COMPLETE
14,14,0.9130434782608695,2023-05-30 22:57:58.039556,2023-05-30 22:58:01.560685,0 days 00:00:03.521129,0.7698377669373213,0.48075989434252464,4,12,0.05872394576282119,0.30864142335188277,60,125,COMPLETE
15,15,0.8695652173913043,2023-05-30 22:58:01.561075,2023-05-30 22:58:05.378842,0 days 00:00:03.817767,0.7941843398488186,0.4266244716724015,3,12,0.06857578817332652,0.30430092209003057,60,169,COMPLETE
16,16,0.8695652173913043,2023-05-30 22:58:05.379254,2023-05-30 22:58:11.709319,0 days 00:00:06.330065,0.6312147776045705,0.5107523295526839,4,14,0.05280834976588602,0.2579465864533881,60,132,COMPLETE
17,17,0.8260869565217391,2023-05-30 22:58:11.709695,2023-05-30 22:58:18.965116,0 days 00:00:07.255421,0.6077013694869923,0.39617975561460267,4,15,0.08454295855050797,0.3222307086993038,60,180,COMPLETE
18,18,0.8478260869565217,2023-05-30 22:58:18.965492,2023-05-30 22:58:24.625413,0 days 00:00:05.659921,0.6710315943340985,0.49805879476628523,4,13,0.06394385807096443,0.3021431196572218,50,122,COMPLETE
19,19,0.8695652173913043,2023-05-30 22:58:24.625858,2023-05-30 22:58:27.247101,0 days 00:00:02.621243,0.6838257582258404,0.4152008725145002,3,11,0.0859668409174394,0.28417425087970377,60,131,COMPLETE
