,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.9111111111111111,2023-08-22 14:04:15.906884,2023-08-22 14:04:21.157713,0 days 00:00:05.250829,0.22800985933315973,0.5506517170059521,4,12,0.059010603183859534,0.3267412397007617,40,170,COMPLETE
1,1,0.9555555555555556,2023-08-22 14:04:21.158101,2023-08-22 14:04:32.230925,0 days 00:00:11.072824,0.31409337218846767,0.6961662760032375,4,20,0.05465806631765083,0.2934640465656442,40,121,COMPLETE
2,2,0.9333333333333333,2023-08-22 14:04:32.231303,2023-08-22 14:04:44.585337,0 days 00:00:12.354034,0.26405859016688116,0.588188482594078,3,20,0.03560968901534288,0.26221414479697425,60,129,COMPLETE
3,3,0.8888888888888888,2023-08-22 14:04:44.585727,2023-08-22 14:04:50.431896,0 days 00:00:05.846169,0.14596078161491002,0.6114138347702663,5,12,0.06530887955526268,0.26539068017599526,60,131,COMPLETE
4,4,0.9555555555555556,2023-08-22 14:04:50.432284,2023-08-22 14:05:07.246345,0 days 00:00:16.814061,0.44232935485472924,0.562406277034879,5,20,0.0635318753411909,0.2843278784375949,60,147,COMPLETE
5,5,0.9333333333333333,2023-08-22 14:05:07.246736,2023-08-22 14:05:16.900924,0 days 00:00:09.654188,0.33565874995886036,0.6567094754161313,4,15,0.06496928682331621,0.2839955591841645,50,142,COMPLETE
6,6,1.0,2023-08-22 14:05:16.901305,2023-08-22 14:05:26.937475,0 days 00:00:10.036170,0.309412556539697,0.49726293546772987,4,19,0.051169929739333625,0.3066468729582204,50,137,COMPLETE
7,7,0.9777777777777777,2023-08-22 14:05:26.937866,2023-08-22 14:05:51.121190,0 days 00:00:24.183324,0.542257028455906,0.5091697039335222,5,20,0.04429705643908085,0.2970132761166753,60,161,COMPLETE
8,8,0.9333333333333333,2023-08-22 14:05:51.121577,2023-08-22 14:06:04.005042,0 days 00:00:12.883465,0.4079242616410179,0.5205598976047485,5,20,0.06915717044169103,0.3348272535628398,40,146,COMPLETE
9,9,0.9555555555555556,2023-08-22 14:06:04.005431,2023-08-22 14:06:13.362700,0 days 00:00:09.357269,0.12445217981654585,0.6688187625026599,3,12,0.03454679872068311,0.26663919187069113,60,176,COMPLETE
10,10,0.9333333333333333,2023-08-22 14:06:13.363090,2023-08-22 14:06:19.023980,0 days 00:00:05.660890,0.43844512205517383,0.46001577301354507,3,17,0.04862313181329244,0.23110009277597804,50,157,COMPLETE
11,11,0.8888888888888888,2023-08-22 14:06:19.024366,2023-08-22 14:06:31.610200,0 days 00:00:12.585834,0.580103034910752,0.49042370177565264,4,18,0.046180128635499626,0.31306493994452933,50,161,COMPLETE
12,12,0.9333333333333333,2023-08-22 14:06:31.610587,2023-08-22 14:06:51.465654,0 days 00:00:19.855067,0.5900120401478275,0.5084118568553914,5,18,0.0426344100461018,0.3116014242288559,50,160,COMPLETE
13,13,0.9555555555555556,2023-08-22 14:06:51.466055,2023-08-22 14:06:56.757531,0 days 00:00:05.291476,0.5095985145857067,0.4505788114141968,4,15,0.053055368559803105,0.30750005347315773,60,135,COMPLETE
14,14,0.8888888888888888,2023-08-22 14:06:56.757921,2023-08-22 14:07:16.078262,0 days 00:00:19.320341,0.38883776618503624,0.533560099831766,5,18,0.042978938585540416,0.34708299986486035,50,154,COMPLETE
15,15,0.9555555555555556,2023-08-22 14:07:16.078661,2023-08-22 14:07:25.263979,0 days 00:00:09.185318,0.5070140879649185,0.4831581098697836,4,19,0.051536739644510866,0.30081116087141463,60,168,COMPLETE
16,16,0.8666666666666667,2023-08-22 14:07:25.264361,2023-08-22 14:07:38.784865,0 days 00:00:13.520504,0.2928007368421646,0.5024260636240674,5,16,0.03976595562521056,0.32503298179896584,50,140,COMPLETE
17,17,0.9777777777777777,2023-08-22 14:07:38.785250,2023-08-22 14:07:47.374291,0 days 00:00:08.589041,0.3620260700423497,0.541527176320917,3,19,0.048054006594659145,0.29508916378042777,50,152,COMPLETE
18,18,0.8888888888888888,2023-08-22 14:07:47.374681,2023-08-22 14:07:54.344862,0 days 00:00:06.970181,0.35505944598535405,0.48441435084932777,4,14,0.056111452265776705,0.3231606397032456,60,123,COMPLETE
19,19,0.8444444444444444,2023-08-22 14:07:54.345260,2023-08-22 14:08:12.894850,0 days 00:00:18.549590,0.22746084401080705,0.5220608233698127,5,19,0.030739669569444975,0.34162013927497786,40,165,COMPLETE
20,20,0.8913043478260869,2023-08-22 14:08:12.895241,2023-08-22 14:08:23.901777,0 days 00:00:11.006536,0.49442659704872677,0.4719151134865271,4,17,0.04971197223108113,0.3164781942131877,60,180,COMPLETE
21,21,0.9347826086956522,2023-08-22 14:08:23.902176,2023-08-22 14:08:35.016053,0 days 00:00:11.113877,0.3898103819236393,0.5413677777483141,3,19,0.04690506070936202,0.2942766585241062,50,151,COMPLETE
22,22,0.8260869565217391,2023-08-22 14:08:35.016446,2023-08-22 14:08:45.524418,0 days 00:00:10.507972,0.349012856514085,0.5079485749526066,3,19,0.04558747802623686,0.30462578097668386,50,138,COMPLETE
23,23,0.8695652173913043,2023-08-22 14:08:45.524813,2023-08-22 14:08:56.886875,0 days 00:00:11.362062,0.2726425517993632,0.5425055679312992,3,18,0.05095417552715289,0.2986392453836614,50,152,COMPLETE
