,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.8444444444444444,2023-08-15 15:24:45.597599,2023-08-15 15:24:53.922371,0 days 00:00:08.324772,0.5968806667588251,0.5914275839766986,4,19,0.09601466660582644,0.2644500446762594,60,135,COMPLETE
1,1,0.8444444444444444,2023-08-15 15:24:53.922901,2023-08-15 15:25:01.570492,0 days 00:00:07.647591,0.3629901889835847,0.7552052053948086,4,14,0.06901034330738719,0.15342787619055845,60,139,COMPLETE
2,2,0.8444444444444444,2023-08-15 15:25:01.570875,2023-08-15 15:25:03.942005,0 days 00:00:02.371130,0.5627088410955867,0.20803068063643834,3,8,0.031152770131199017,0.21347792333338944,40,159,COMPLETE
3,3,0.8666666666666667,2023-08-15 15:25:03.942374,2023-08-15 15:25:13.005587,0 days 00:00:09.063213,0.46862171795412044,0.771279123248366,3,9,0.0666487868393052,0.2989915657773483,40,172,COMPLETE
4,4,0.8444444444444444,2023-08-15 15:25:13.005977,2023-08-15 15:25:16.544791,0 days 00:00:03.538814,0.5015956861739669,0.3519331894108527,3,20,0.09417521274546323,0.1528085864654763,40,143,COMPLETE
5,5,0.8888888888888888,2023-08-15 15:25:16.545168,2023-08-15 15:25:26.916294,0 days 00:00:10.371126,0.1471718000767882,0.6900402281260407,3,19,0.07132429677706967,0.3385561262587676,50,171,COMPLETE
6,6,0.8444444444444444,2023-08-15 15:25:26.917033,2023-08-15 15:25:44.479210,0 days 00:00:17.562177,0.658796906102573,0.7717610112179618,5,19,0.051942365844474946,0.3396837212395435,60,149,COMPLETE
7,7,0.9111111111111111,2023-08-15 15:25:44.479594,2023-08-15 15:25:48.808467,0 days 00:00:04.328873,0.17913937992989107,0.5694839087101945,4,8,0.08929094893440098,0.28986531231500107,60,172,COMPLETE
8,8,0.8666666666666667,2023-08-15 15:25:48.808844,2023-08-15 15:25:53.687276,0 days 00:00:04.878432,0.538379081417172,0.6741997666663673,4,9,0.09831138875461318,0.267109538473238,60,143,COMPLETE
9,9,0.8222222222222222,2023-08-15 15:25:53.687644,2023-08-15 15:26:05.469228,0 days 00:00:11.781584,0.5770252901053412,0.6511426052583187,5,18,0.05733222630255601,0.29137924053029796,40,153,COMPLETE
10,10,0.8444444444444444,2023-08-15 15:26:05.469609,2023-08-15 15:26:08.311972,0 days 00:00:02.842363,0.10007028073159566,0.48220119502277126,5,5,0.08386490437713634,0.21770427725867356,50,180,COMPLETE
11,11,0.8222222222222222,2023-08-15 15:26:08.312341,2023-08-15 15:26:12.036900,0 days 00:00:03.724559,0.1225053396766137,0.5645379015087002,3,14,0.08075444826926406,0.3460280327270997,50,166,COMPLETE
12,12,0.7111111111111111,2023-08-15 15:26:12.037283,2023-08-15 15:26:15.081267,0 days 00:00:03.043984,0.22649809896599124,0.48566317160225514,4,12,0.07911277599758082,0.32105497827192614,50,122,COMPLETE
