,number,value,datetime_start,datetime_complete,duration,params_cross_ind_prob,params_cross_prob,params_cv,params_max_features,params_muta_ind_prob,params_muta_prob,params_n_gens,params_n_population,state
0,0,0.9777777777777777,2023-08-15 22:50:09.461969,2023-08-15 22:50:13.786906,0 days 00:00:04.324937,0.22282172844744985,0.5735525905406549,5,10,0.06894503176181917,0.21069602612784408,60,123,COMPLETE
1,1,0.9555555555555556,2023-08-15 22:50:13.787269,2023-08-15 22:50:16.816321,0 days 00:00:03.029052,0.6777252862343787,0.3521916103094571,3,9,0.04913549563743563,0.28354441908693623,50,174,COMPLETE
2,2,0.9111111111111111,2023-08-15 22:50:16.816690,2023-08-15 22:50:24.055291,0 days 00:00:07.238601,0.38496916201489906,0.30775476353100245,3,13,0.042502205796460316,0.2888670067686031,50,153,COMPLETE
3,3,0.9333333333333333,2023-08-15 22:50:24.055663,2023-08-15 22:50:26.593900,0 days 00:00:02.538237,0.6333161079833095,0.43859494314108505,4,5,0.09428373684436886,0.2089371709803265,50,127,COMPLETE
4,4,0.9333333333333333,2023-08-15 22:50:26.594271,2023-08-15 22:50:40.872549,0 days 00:00:14.278278,0.678908143006026,0.7612630738451998,4,20,0.09827491936024185,0.32090999722126223,50,151,COMPLETE
5,5,0.9555555555555556,2023-08-15 22:50:40.872936,2023-08-15 22:50:48.516065,0 days 00:00:07.643129,0.4104824823824301,0.6418768166907063,3,14,0.05465415768392169,0.3160238454210531,60,140,COMPLETE
6,6,0.9555555555555556,2023-08-15 22:50:48.516449,2023-08-15 22:50:51.302578,0 days 00:00:02.786129,0.2112611161481459,0.36972439641700894,4,10,0.07762617340994632,0.15038173372153107,50,137,COMPLETE
7,7,0.9333333333333333,2023-08-15 22:50:51.302969,2023-08-15 22:50:54.518504,0 days 00:00:03.215535,0.40162253980357887,0.4130334884359664,3,5,0.042719609748523055,0.32212990764264554,60,175,COMPLETE
8,8,0.9555555555555556,2023-08-15 22:50:54.518874,2023-08-15 22:51:18.924681,0 days 00:00:24.405807,0.2609317079164625,0.6405048168012892,5,20,0.029136043629394856,0.30292213079052555,60,141,COMPLETE
9,9,0.9555555555555556,2023-08-15 22:51:18.925071,2023-08-15 22:51:42.335137,0 days 00:00:23.410066,0.5977852696631233,0.6854457135583025,5,15,0.04043858556401018,0.3328582594037308,60,160,COMPLETE
10,10,0.8666666666666667,2023-08-15 22:51:42.335519,2023-08-15 22:51:45.940208,0 days 00:00:03.604689,0.1322835260491504,0.5347461293608624,5,9,0.07758346634433128,0.22897222295044892,40,120,COMPLETE
11,11,0.8888888888888888,2023-08-15 22:51:45.940588,2023-08-15 22:51:49.190894,0 days 00:00:03.250306,0.7988823558543603,0.2919733158802139,4,9,0.06398754573747714,0.26364106158100237,40,178,COMPLETE
12,12,0.8888888888888888,2023-08-15 22:51:49.191277,2023-08-15 22:51:56.205308,0 days 00:00:07.014031,0.5232437425847652,0.5146149930492756,3,11,0.06028495598311898,0.26002344590927473,60,168,COMPLETE
13,13,0.9333333333333333,2023-08-15 22:51:56.205688,2023-08-15 22:51:59.878104,0 days 00:00:03.672416,0.2971336267374701,0.23115586997704057,5,8,0.06696312759289609,0.2090203681471467,50,162,COMPLETE
14,14,0.9111111111111111,2023-08-15 22:51:59.878499,2023-08-15 22:52:02.298202,0 days 00:00:02.419703,0.11643679324184986,0.564062975897966,4,7,0.050791570794254566,0.28257794700840666,40,131,COMPLETE
15,15,0.9555555555555556,2023-08-15 22:52:02.298598,2023-08-15 22:52:25.229972,0 days 00:00:22.931374,0.4835434760713755,0.45370884292166613,5,16,0.02688673859298958,0.34131714344983577,60,170,COMPLETE
16,16,0.9111111111111111,2023-08-15 22:52:25.230355,2023-08-15 22:52:29.040210,0 days 00:00:03.809855,0.35102379187540134,0.36495934483673964,3,12,0.07267495730562876,0.24144073911219704,50,146,COMPLETE
17,17,1.0,2023-08-15 22:52:29.040587,2023-08-15 22:52:37.644615,0 days 00:00:08.604028,0.4907414042973564,0.5701412067378618,4,17,0.054880362253338685,0.28356021323404673,50,120,COMPLETE
18,18,0.9555555555555556,2023-08-15 22:52:37.644992,2023-08-15 22:52:46.096489,0 days 00:00:08.451497,0.4968126695148002,0.5676704543966752,4,17,0.05781703772416476,0.1774138129225005,60,120,COMPLETE
19,19,0.9777777777777777,2023-08-15 22:52:46.096871,2023-08-15 22:52:51.948339,0 days 00:00:05.851468,0.3422504384778373,0.48461382097845074,4,18,0.06818608289986676,0.24147166815019866,40,128,COMPLETE
20,20,0.9555555555555556,2023-08-15 22:52:51.948720,2023-08-15 22:53:02.228362,0 days 00:00:10.279642,0.21119634525066014,0.5975748364443753,5,18,0.08335711261133052,0.2639409864523574,60,133,COMPLETE
21,21,0.9333333333333333,2023-08-15 22:53:02.228741,2023-08-15 22:53:07.725277,0 days 00:00:05.496536,0.2977532986466462,0.4629432152416466,4,18,0.06683435831653374,0.2370754671308791,40,125,COMPLETE
22,22,0.9555555555555556,2023-08-15 22:53:07.725658,2023-08-15 22:53:14.971946,0 days 00:00:07.246288,0.3471106053432066,0.509383198095246,4,18,0.06976981658809396,0.21973090553247598,40,126,COMPLETE
23,23,0.9333333333333333,2023-08-15 22:53:14.972343,2023-08-15 22:53:23.103417,0 days 00:00:08.131074,0.4483782036174067,0.48498167282861526,4,15,0.06154475447558416,0.2564895450216965,40,132,COMPLETE
24,24,0.9111111111111111,2023-08-15 22:53:23.103806,2023-08-15 22:53:30.972396,0 days 00:00:07.868590,0.32090628810306365,0.5341758142680431,5,12,0.057642162630967456,0.24685949689981707,40,122,COMPLETE
25,25,0.9555555555555556,2023-08-15 22:53:30.972783,2023-08-15 22:53:39.303992,0 days 00:00:08.331209,0.24040496348451848,0.5984841876597188,4,19,0.07246509523352106,0.20594762490747517,40,129,COMPLETE
26,26,0.9777777777777777,2023-08-15 22:53:39.304385,2023-08-15 22:53:43.758096,0 days 00:00:04.453711,0.1589001295026549,0.4697485923228074,4,17,0.06637198879365117,0.22431315834905727,50,124,COMPLETE
27,27,0.9777777777777777,2023-08-15 22:53:43.758477,2023-08-15 22:53:50.378413,0 days 00:00:06.619936,0.2661670620944878,0.4904810158392455,4,14,0.06241903017223252,0.2738723117391321,60,136,COMPLETE
28,28,0.9555555555555556,2023-08-15 22:53:50.378791,2023-08-15 22:53:55.582044,0 days 00:00:05.203253,0.17343967814842157,0.4258766328769299,5,15,0.05391271245611852,0.1918863738339141,40,147,COMPLETE
29,29,0.8888888888888888,2023-08-15 22:53:55.582430,2023-08-15 22:53:59.592395,0 days 00:00:04.009965,0.3115644102626536,0.4033403616846862,5,7,0.05030638359819172,0.2486028957725337,50,135,COMPLETE
30,30,0.9333333333333333,2023-08-15 22:53:59.592799,2023-08-15 22:54:02.628868,0 days 00:00:03.036069,0.44068644959745656,0.5508680118300704,3,11,0.08587582164263297,0.23586887862997802,50,129,COMPLETE
31,31,0.9777777777777777,2023-08-15 22:54:02.629245,2023-08-15 22:54:06.372866,0 days 00:00:03.743621,0.10762404480285316,0.5032724322319256,4,17,0.06461208260222782,0.2283732524071371,50,124,COMPLETE
32,32,0.8666666666666667,2023-08-15 22:54:06.373261,2023-08-15 22:54:13.152306,0 days 00:00:06.779045,0.17623784658836944,0.46638829395781833,4,19,0.0713996265759589,0.2222478512915128,50,123,COMPLETE
33,33,0.9111111111111111,2023-08-15 22:54:13.152685,2023-08-15 22:54:16.537365,0 days 00:00:03.384680,0.16512140647962265,0.4710039417574254,4,16,0.0667824651094746,0.29392043094730363,50,127,COMPLETE
34,34,0.9777777777777777,2023-08-15 22:54:16.537756,2023-08-15 22:54:20.353146,0 days 00:00:03.815390,0.2209787004246304,0.43762604866697175,4,13,0.05970716358301637,0.2720887011601612,50,123,COMPLETE
35,35,0.9555555555555556,2023-08-15 22:54:20.353529,2023-08-15 22:54:29.188317,0 days 00:00:08.834788,0.3708987215740422,0.5205227606454725,4,17,0.055261056224448143,0.24872906142389362,50,141,COMPLETE
36,36,0.9333333333333333,2023-08-15 22:54:29.188704,2023-08-15 22:54:35.704973,0 days 00:00:06.516269,0.269335034608478,0.582171911721882,4,19,0.07654354792127865,0.28022924529295706,50,120,COMPLETE
37,37,0.8888888888888888,2023-08-15 22:54:35.705368,2023-08-15 22:54:40.133839,0 days 00:00:04.428471,0.38543338735006544,0.6374032204470055,3,16,0.06942366907199699,0.21344165689349226,50,129,COMPLETE
38,38,0.9555555555555556,2023-08-15 22:54:40.134280,2023-08-15 22:54:45.754269,0 days 00:00:05.619989,0.20798175450204515,0.4037807159341274,4,14,0.04664849191416405,0.2940004440378647,60,155,COMPLETE
39,39,0.9111111111111111,2023-08-15 22:54:45.754657,2023-08-15 22:54:49.544719,0 days 00:00:03.790062,0.13865729551119643,0.5460106014519374,4,11,0.06234569195354727,0.19922228779211684,50,139,COMPLETE
40,40,0.9777777777777777,2023-08-15 22:54:49.545107,2023-08-15 22:55:00.212769,0 days 00:00:10.667662,0.4222361309967407,0.6848015654177521,4,20,0.07541603806296102,0.23005697792513755,60,127,COMPLETE
41,41,0.9777777777777777,2023-08-15 22:55:00.213161,2023-08-15 22:55:05.954050,0 days 00:00:05.740889,0.25646098244731763,0.479783384574534,4,14,0.06235514490695905,0.26813792231515793,60,135,COMPLETE
42,42,0.9111111111111111,2023-08-15 22:55:05.954436,2023-08-15 22:55:11.324465,0 days 00:00:05.370029,0.28060793170321974,0.503384714860436,4,17,0.0682978672987447,0.2741939608540028,60,131,COMPLETE
43,43,0.9333333333333333,2023-08-15 22:55:11.324855,2023-08-15 22:55:16.923331,0 days 00:00:05.598476,0.23686689909783676,0.4894531765136905,4,13,0.06358398012746261,0.25523311844887003,60,144,COMPLETE
44,44,0.9333333333333333,2023-08-15 22:55:16.923727,2023-08-15 22:55:21.226065,0 days 00:00:04.302338,0.18789827459412975,0.5340014053268797,4,10,0.058766634541176956,0.3046417205200098,60,136,COMPLETE
45,45,0.8888888888888888,2023-08-15 22:55:21.226461,2023-08-15 22:55:27.143439,0 days 00:00:05.916978,0.25846051895347627,0.4330146925380396,4,15,0.054676949127392786,0.2764981464146681,60,122,COMPLETE
46,46,0.8666666666666667,2023-08-15 22:55:27.143822,2023-08-15 22:55:32.186690,0 days 00:00:05.042868,0.1420600257728613,0.5702318110741643,3,18,0.06551815461164277,0.2873448019040334,40,127,COMPLETE
47,47,0.9111111111111111,2023-08-15 22:55:32.187074,2023-08-15 22:55:40.009995,0 days 00:00:07.822921,0.3302391337829496,0.3834988794025879,5,16,0.08078799498613551,0.2613513696391141,60,133,COMPLETE
48,48,0.8888888888888888,2023-08-15 22:55:40.010378,2023-08-15 22:55:43.340235,0 days 00:00:03.329857,0.2866289806561679,0.44704909352318517,4,10,0.07517877340279527,0.2435607694255071,50,124,COMPLETE
49,49,0.9777777777777777,2023-08-15 22:55:43.340623,2023-08-15 22:55:49.013473,0 days 00:00:05.672850,0.3577819964101899,0.3290780107786534,4,19,0.06961407490154906,0.2554279654502187,60,138,COMPLETE
50,50,0.7777777777777778,2023-08-15 22:55:49.013890,2023-08-15 22:55:55.245531,0 days 00:00:06.231641,0.39998499417947314,0.523867628770909,5,14,0.06508948265058152,0.2662415402796528,40,129,COMPLETE
51,51,0.8888888888888888,2023-08-15 22:55:55.245923,2023-08-15 22:55:59.561168,0 days 00:00:04.315245,0.10721609431321466,0.4866611359869447,4,17,0.06499950295272246,0.22784589234223537,50,120,COMPLETE
52,52,0.9111111111111111,2023-08-15 22:55:59.561555,2023-08-15 22:56:04.229968,0 days 00:00:04.668413,0.14926580115600252,0.50557573265065,4,17,0.06063074575871109,0.23781053845640446,50,125,COMPLETE
53,53,0.7555555555555555,2023-08-15 22:56:04.230367,2023-08-15 22:56:06.543380,0 days 00:00:02.313013,0.1120976745595661,0.5541730315957558,4,8,0.07311607694246487,0.21900245296338333,50,122,COMPLETE
54,54,0.8444444444444444,2023-08-15 22:56:06.543786,2023-08-15 22:56:11.056524,0 days 00:00:04.512738,0.19299818186253234,0.452350962358247,4,20,0.06828309761010186,0.2307184226313302,50,126,COMPLETE
55,55,0.9333333333333333,2023-08-15 22:56:11.056917,2023-08-15 22:56:16.022621,0 days 00:00:04.965704,0.15696017692964662,0.5025865498193853,4,16,0.06428692866076165,0.24412481300678934,50,130,COMPLETE
56,56,0.9111111111111111,2023-08-15 22:56:16.023018,2023-08-15 22:56:26.221652,0 days 00:00:10.198634,0.19875302080734208,0.5922044581428136,4,18,0.0568888867388556,0.2153400482626323,60,124,COMPLETE
